;opi_id;tag;subtag;opinion_unit;review_id;rating
54;54;Product feedback;Performance;Really accurate for my neighborhood so far ( brooklyn , New York ) .;5959252948;5
55;55;Product feedback;Usability - Navigation;You can even have the air quality number stay on top of the app the same way notifications usually appear .;5959252948;5
56;56;Product feedback;Usability - Navigation;But seems like you have to open the app for it to be updated / refresh to the latest air quality number .;5959252948;5
57;57;;;I guess that ’s the only thing that ’s not the best so far .;5959252948;5
58;58;;;Love the app;5957424702;5
59;59;Product feedback;Usability - Content;Gives you details of any city around the world , and even around different areas in the same city .;5957424702;5
60;60;Product feedback;Usability - Navigation;You can create alarms and it is very user friendly .;5957424702;5
61;61;;;Totally recommend it .;5957424702;5
62;62;;;Air;5946165403;5
63;63;;;Great application;5946165403;5
64;64;Product feedback;Usability - Content;very informative , great app;5945465593;5
65;65;;;love using this to check the air quality in my area and whenever I travel .;5945465593;5
66;66;;;i like that it has the widget option so i can see it in my today view as well on iphone;5945465593;5
67;67;;;Literally ca n’t live ( breathe ) without it !;5941718020;5
68;68;;;Though when I first awaken , I already know if it ’s a “ good or bad air day;5941718020;5
69;69;;;” , this app is essential as to how , what , when , and how much to do the rest of that day .;5941718020;5
70;70;;;I can plan how to function , tho maybe limited , or change plans entirely .;5941718020;5
71;71;;;It ’s an actual medical tool , just not dispensed from a physician !;5941718020;5
72;72;;;Support review;5938285408;5
73;73;;;Very usefull , i have plan to protect myself before go out;5938285408;5
74;74;;;Very Useful;5934800843;5
75;75;;;Especially useful in China .;5934800843;5
76;76;;;Great App , compatible with Apple Watch .;5934800843;5
77;77;;;Nice;5933451088;5
78;78;;;Dark widget finally .;5933451088;5
79;79;;;User review;5930883438;5
80;80;;;Very effective especially in myanmar;5930883438;5
81;81;;;love my IQAir !;5930421870;5
82;82;;;I have learned so much about how to manage my air quality from IQAIR with the airvisual app and their awesome filter !;5930421870;5
83;83;;;BadgerCS;5921498333;5
84;84;;;Air Quality counts with outdoor activities;5921498333;5
85;85;;;Great app .;5914896991;5
86;86;;;Simply is the best .;5914896991;5
87;87;;;Thank you all for putting out such a awesome app to saves lives .;5914896991;5
88;88;;;Is so helpful;5907524335;5
89;89;;;Very good ! !;5907524335;5
90;90;;;It helps me to diced if I can open my window or not , I have allergy and health problem so this up is very very helpful , thank you;5907524335;5
91;91;;;Best air quality indicator;5906459557;5
92;92;;;I started using this app when I was in Asia because I was worried about the air .;5906459557;5
93;93;;;It has helped me avoid running on notably bad days in the States as well .   ;5906459557;5
94;94;;;Also , they improve the interface every so often .;5906459557;5
95;95;;;Love it;5896168348;5
96;96;;;Opens your eyes and makes you realize what damage we are doing to our planet .;5896168348;5
97;97;;;Fantastic idea and execution;5894974407;5
98;98;;;"It ’s about free exchange and leverage ; and the more this network expands the safer people with asthma and severe allergies will be .";5894974407;5
99;99;;;Thank you !;5894974407;5
100;100;;;Very helpful;5893802323;5
101;101;;;I use this application throughout the day .;5893802323;5
102;102;;;I was recently diagnosed with asthma so I check the air quality before I do any outdoor activities .;5893802323;5
103;103;;;THANK YOU for making this app ! ! !;5893802323;5
104;104;;;Very Useful;5893664449;5
105;105;;;I use this to decide when to let fresh air into my home , and when to close up and turn on the air filter .;5893664449;5
106;106;;;Very helpful app !;5893664449;5
107;107;;;Love it;5891595925;5
108;108;;;Love it;5891595925;5
109;109;;;Great app .;5888893555;5
110;110;;;Great for trip planing;5888893555;5
111;111;;;Great Air Quality Index app;5888026017;5
112;112;;;Been using the app for about a month and it has been very accurate in our area .;5888026017;5
113;113;;;Seems good . I have n’t compared it though;5881601868;5
114;114;;;Worth a try;5881601868;5
115;115;;;Knowing how to breath;5881439081;5
116;116;;;This app lets me know whether I can take a walk or play golf that day .   ;5881439081;5
117;117;;;It ’s a life saver .;5881439081;5
118;118;;;Awesome;5878742484;5
119;119;;;Does what it says and more .;5878742484;5
120;120;;;Expensive to buy the machine;5878742484;5
121;121;;;but the app is wonderful !;5878742484;5
122;122;;;Great app;5863086265;5
123;123;;;I have COPD , this app lets me know before I go outside how the air quality is !;5863086265;5
124;124;;;If it ’s accurate , very useful;5862592646;5
125;125;;;Thanks;5862592646;5
126;126;;;VERY Helpful;5862280428;5
127;127;;;I LOVE this app !   ;5862280428;5
128;128;;;I have allergies AND asthma;5862280428;5
129;129;;;and I can QUICKLY plan my family ’s outdoor activities , by time of day , using this app .   ;5862280428;5
130;130;;;Thank you , for using colors and icons vs having to dig through a lot of text .;5862280428;5
131;131;;;Excellent App to check which country is leading us to global warming;5859182067;5
132;132;;;Excellent App to check which country is leading us to global warming , asthma ( PM2.5 ) and cancer ( SO2 and NO2 ) .;5859182067;5
133;133;;;I constantly look at the map / satellite option .;5859182067;5
134;134;;;Good App to take care of your and your family ’s health .;5859182067;5
135;135;;;Keep up the good job .;5859182067;5
136;136;;;Such a wonderful app;5855806028;5
137;137;;;It is so great to have this for us here in Cairo where air quality is n’t always so great .   ;5855806028;5
138;138;;;It is nice to know which days to run outside and which days to stay indoors .;5855806028;5
139;139;;;Real value in a free app;5849043637;5
140;140;;;I have used and told others about this app for years .;5849043637;5
141;141;;;I have a rare autoimmune disease with a myriad of debilitating symptoms .   ;5849043637;5
142;142;;;But the most frightening is bouts of difficulty breathing .;5849043637;5
143;143;;;Before I open my door , or step outside , I look at this handy app to know if the big city air is likely to cause me problems .;5849043637;5
144;144;;;Trial and error has shown me that this app can make the difference .;5849043637;5
145;145;;;I love this app .;5849043637;5
146;146;;;I just bought the IQAir .   ;5849043637;5
147;147;;;Thanks for helping me breathe easier , literally .;5849043637;5
148;148;;;Excellent help .;5845101646;5
149;149;;;Great app;5845101646;5
150;150;;;Very helpful !;5837682548;5
151;151;;;Could be improved by dividing places into smaller areas or formal districts of the city !;5837682548;5
152;152;;;5 stars;5834550679;5
153;153;;;Really enjoy this app , I check it often .;5834550679;5
154;154;;;It ’s a fun app to use .   ;5834550679;5
155;155;;;It gives me the ability to make good decisions about my activities .;5834550679;5
156;156;;;Good app;5824934382;5
157;157;;;Very helpful;5824934382;5
158;158;;;Must have;5824269548;5
159;159;;;It ’s super helpful if you live in industrial China or India , or like me in capital of Ukraine ,   most polluted city on the world at the moment .;5824269548;5
160;160;;;Excellent app;5818649378;5
161;161;;;Excellent app with a reputable company that makes hospital grade air purifiers for home .;5818649378;5
162;162;;;Chandler Man;5811283762;5
163;163;;;Great to know my air quality whenever I want !;5811283762;5
164;164;;;AirVisual is extremely informative;5806537701;5
165;165;;;Great Pollution monitor;5806537701;5
166;166;;;bikegal2012;5806465277;5
167;167;;;Great App !;5806465277;5
168;168;;;A great weather whistler !;5799004445;5
169;169;;;Good notifications about the level of pollution in a place .;5799004445;5
170;170;;;Handy for 2020 !;5799004445;5
171;171;;;Great Info !;5796375594;5
172;172;;;It ’s great to be able to check air qualiy with just a click .;5796375594;5
173;173;;;Shows proof that when cars are off the road we can make a huge difference .;5796375594;5
174;174;;;If COVID-19 has taught us anything , it ’s that fewer emissions mean cleaner air .;5796375594;5
175;175;Product feedback;Usability - Complexity;Quick and simple;5795026913;5
176;176;Product feedback;Usability - Navigation;I like the quick way I receive at a glance the information and can then dig deeper into it .;5795026913;5
177;177;Usage;Conditions;Amazing info for allergy sufferers like me;5791928076;5
178;178;Usage;Activities;Being able to keep track of air quality everyday helps me a lot and how to manage my going out of the house;5791928076;5
179;179;Product feedback;Usability - Complexity;Smart , Simple , Attractive;5783374950;5
180;180;Product feedback;Usability - Content;What a great idea to build an open source community to help people understand the air quality they are breathing .   ;5783374950;5
181;181;;;Air quality is a growing concern around the planet .   ;5783374950;5
182;182;;;The air you breath is just as important as the water you drink in my opinion .   ;5783374950;5
183;183;Usage;Actions taken;This app is driving me to purchase the IQ Air sensor to go with my home air filter unit .;5783374950;5
184;184;;;Works;5771164574;5
185;185;Product feedback;Usability - Content;Tells me when it ’s safe to air out the house;5771164574;5
186;186;Usage;Conditions;Son with asthma;5761930201;5
187;187;Usage;Activities;Love this app and allows me to know when he can go outside to play or when we will have difficulties .;5761930201;5
188;188;;;Great app !;5758738947;5
189;189;Usage;Activities;I love that it gives me the air quality in cities all over the world , it helps me to decide where to go in vacations , how my parents are doing in their city etc .;5758738947;5
190;190;;;Despite the present COVID-19 crisis I have hope that one day we ’ll be able to go places again .;5758738947;5
191;191;;;In Watertown he meantime keeping an eye on the air quality we inhale is super important .;5758738947;5
192;192;;;Life Savers World Savers;5756748210;5
193;193;;;thank you;5756748210;5
194;194;;;Superb ! ! !;5747913928;5
195;195;;;Great !   ;5747913928;5
196;196;Product feedback;Usability - Content;Very informative and helpful .;5747913928;5
197;197;;;Air quality;5745391753;5
198;198;;;Do n’t leave home without it .;5745391753;5
199;199;;;Theo247;5739389899;5
200;200;;;Great App !;5739389899;5
201;201;;;Very helpful;5738249857;5
202;202;;;I look at the rating before I step out the door .;5738249857;5
203;203;Usage;Conditions;Got asthma and need to be careful .;5738249857;5
204;204;;;Excellent app;5738141708;5
205;205;Product feedback;Usability - Navigation;Clear to read and easy to use with an elegant design .;5738141708;5
206;206;Product feedback;Performance;Most importantly , the app can show many useful and reliable data .;5738141708;5
207;207;;;Highly recommend .;5738141708;5
208;208;;;best air quality app !;5737604599;5
209;209;;;air quality in my opinion is hugely underrated when it comes to health and this app really lets get a deeper look into how it is where you live;5737604599;5
210;210;;;Just works as advertised;5737050776;5
211;211;;;It not only works with my iPhone;5737050776;5
212;212;;;but with my Apple Watch .;5737050776;5
213;213;;;Great !;5734435977;5
214;214;;;Great app;5734435977;5
215;215;;;Shajiboss;5732928162;5
216;216;;;Perfect;5732928162;5
217;217;;;Easy to add my fav spots;5732794907;5
218;218;;;Great;5732794907;5
219;219;;;Prayanak;5730518447;5
220;220;;;Very useful;5730518447;5
221;221;;;Great;5726990072;5
222;222;;;Works fantastic;5726990072;5
223;223;;;So helpful;5719082011;5
224;224;;;Not only do I get to know the air quality where I am;5719082011;5
225;225;;;but I can also check the air where my family is !   ;5719082011;5
226;226;;;So important for seniors and people with asthma / lung conditions .;5719082011;5
227;227;;;Great;5699066278;5
228;228;;;This is a great resource !;5699066278;5
229;229;;;Best;5697224774;5
230;230;;;It ’s good to have peace of mind knowing where I am and where I go that I ’ll be forewarned of the air quality and can prepare accordingly .;5697224774;5
231;231;;;Greath;5693908945;5
232;232;;;Evriting special;5693908945;5
233;233;;;Great App;5693699922;5
234;234;;;That is my daily application at the moment and ca n’t stop using it;5693699922;5
235;235;;;- Thank you :);5693699922;5
236;236;;;Helpful Travel Tool;5690133493;5
237;237;;;On recent trip to SE Asia we used this app to look for less smoky places to travel .;5690133493;5
238;238;;;COVID-19;5689298647;5
239;239;;;Shocking about air quality in italy Milaan about COVID-19 disease;5689298647;5
240;240;;;Helps to know when the air is bad !;5688261281;5
241;241;;;Love this app !;5688261281;5
242;242;;;Great app I used to . Thanks;5687262091;5
243;243;;;Great app I used to .;5687262091;5
244;244;;;Thanks;5687262091;5
245;245;;;Good app for remote areas;5682212756;5
246;246;;;I live in Kham ta kla .;5682212756;5
247;247;;;This is the first app that gives more a good idea of air quality .;5682212756;5
248;248;;;Not sure how they get info on my town;5682212756;5
249;249;;;but I usually judge air quality by how smoky it is;5682212756;5
250;250;;;and it seems to reflect that .;5682212756;5
251;251;;;Great for everyday use !;5681887371;5
252;252;;;Love it !;5681887371;5
253;253;;;Just needs a covid19 molecule update !;5681887371;5
254;254;;;Mr Jude;5664241094;5
255;255;;;Great !;5664241094;5
256;256;;;Helpful   instrument;5662481979;5
257;257;;;I recommend this app to plan one ’s day .;5662481979;5
258;258;;;Great app;5661792209;5
259;259;;;Use it everyday to check air quality !;5661792209;5
260;260;;;Part of my day now;5654821926;5
261;261;;;I was a little slow to start;5654821926;5
262;262;;;but it ’s a regular part of my day , now .;5654821926;5
263;263;;;Medellin Colombia;5648645930;5
264;264;;;I ’ve tried several air quality apps over the past couple months and this one has the most available sites and is the easiest to use .;5648645930;5
265;265;;;Both my spouse and I are using it now .;5648645930;5
266;266;;;Great;5648198950;5
267;267;;;Very helpful and works great !;5648198950;5
268;268;;;AirVisual;5646827583;5
269;269;;;Very great ! ! !;5646827583;5
270;270;;;Relax and Breathe;5643280231;5
271;271;;;If you can link to a reliable monitor you can have accurate updates that make daily plans possible .;5643280231;5
272;272;;;This is hands down the best;5642063712;5
273;273;;;I ’m an app developer .;5642063712;5
274;274;;;Not on this app .;5642063712;5
275;275;;;I ’ve tried tons of air quality apps while traveling around the world and I ’ve found myself relying on this one most .;5642063712;5
276;276;;;# 1 .;5642063712;5
277;277;;;Get it .;5642063712;5
278;278;;;Excellent app .;5640486752;5
279;279;;;Very helpful !;5640486752;5
280;280;;;Important app;5637940782;5
281;281;;;I need this for my asthma and allergies .   ;5637940782;5
282;282;;;Works great and correlates to local news reports .;5637940782;5
283;283;;;Jeff Sunner;5637909381;5
284;284;;;Great app;5637909381;5
285;285;;;Ali;5636108347;5
286;286;;;Perfect , useful;5636108347;5
287;287;;;Great app . I ’ve used it everywhere .;5626259230;5
288;288;;;I travel often and have used the map to track air quality around the world .   ;5626259230;5
289;289;;;It helped my team and;5626259230;5
290;290;;;I when we were in Sumatra during the wild fires .;5626259230;5
291;291;;;We evacuated due to the apps help and protected our team !   ;5626259230;5
292;292;;;Also use it at home to monitor the air for my family and friends .   ;5626259230;5
293;293;;;A MUST HAVE !;5626259230;5
294;294;;;Breath of fresh air ..... so to speak !;5616395599;5
295;295;;;Due to my respiratory issues , have a tool to analysis the air quality on a daily basis is important to me !;5616395599;5
296;296;;;But having a comparative tool where I can watch and compare & contrast multiple cities and locations can be very helpful when traveling and or considering a move !;5616395599;5
297;297;;;This app / tool allows for all of the above while being formatted to allow for each and concise understanding of the pertinent data !   ;5616395599;5
298;298;;;Thanks so much   JTK   Ashland , OR;5616395599;5
299;299;;;Great !;5610185157;5
300;300;;;Use it daily to check air quality .;5610185157;5
301;301;;;Easy to use , no ads and helpful interface .;5610185157;5
302;302;;;Visitor from USA;5609706859;5
303;303;;;Very helpful information , will pass it on to friends in US .   ;5609706859;5
304;304;;;Good job ! ! !;5609706859;5
305;305;;;Super helpful;5608382259;5
306;306;;;If u want desk research for your data analysis   this is the most reliable one it uses a special device to monitor the air quality;5608382259;5
307;307;;;Nice reference for our location;5605484311;5
308;308;;;Good to learn the active current air quality where you are .;5605484311;5
309;309;;;C;5604585369;5
310;310;;;I ’m happy with the results and it ’s been very good;5604585369;5
311;311;;;Air visual;5600119420;5
312;312;;;This app in very very helpful 👌 🏽;5600119420;5
313;313;;;Good review;5599076724;5
314;314;;;It ’s so useful for prevention;5599076724;5
315;315;;;Realy super helpful in my country;5596685612;5
316;316;;;Tehran capital of iran is the dirty air place in planet earth and this app help me for time i can check the fresh air for running :(   ;5596685612;5
317;317;;;Sorry for bad english;5596685612;5
318;318;;;Add regional infection risk;5588449608;5
319;319;;;Great app to generate awareness of pollutants that can affect your health .;5588449608;5
320;320;;;It would be great to add airborne infection risk to viruses in a region based in CDC or other sources .;5588449608;5
321;321;;;This will be important given potential virus pandemics and could help you to decide whether you want to wear a mask today when going out .;5588449608;5
322;322;;;i like it;5584441083;5
323;323;;;It ’s super helpful to see the air quality at the moment as well as during the following few hours / days .;5584441083;5
324;324;;;Essential guide for checking air quality !;5583528513;5
325;325;;;It ’s important to know how clean the air that we breathe is .   ;5583528513;5
326;326;;;With this app you can find out with a tap .   ;5583528513;5
327;327;;;I suffer from allergies , so twice as valuable for me !   ;5583528513;5
328;328;;;Clutch .;5583528513;5
329;329;Product feedback;Usability - Navigation;Please add a Forward arrow;5579047582;5
330;330;;;Thank you 😘   Robert II San Diego Calif USA 92131;5579047582;5
331;331;;;very useful;5576299673;5
332;332;;;great app;5576299673;5
333;333;;;Bua;5573907808;5
334;334;;;By far the best app i have ever used , easy to use , it shows weather too;5573907808;5
335;335;;;Great app;5571711474;5
336;336;;;Accurate and helpful in planning my day .;5571711474;5
337;337;;;Thanks;5571711474;5
338;338;;;Great app , simple and accurate !;5570665311;5
339;339;;;Very helpful in planning the day and what activities to engage in .;5570665311;5
340;340;;;Excellent !;5570665311;5
341;341;;;Crucial as an asthmatic;5567446934;5
342;342;;;Having just moved to a new city ( Pittsburgh ) this app helps me know when it ’s safe to be outside for long periods and when it is n’t .;5567446934;5
343;343;;;Very useful;5567446934;5
344;344;;;Helpful App;5562544058;5
345;345;;;Lots of places where one can see the current air quality .;5562544058;5
346;346;;;You may have to know the province or state if wanting to find data on a particular city .;5562544058;5
347;347;;;Weather Health measurement;5556138998;5
348;348;;;It is amazing app;5556138998;5
349;349;;;Good app;5553608630;5
350;350;;;This app is good at telling specific information about the outdoor air as well as weather .;5553608630;5
351;351;;;Awesome information !;5550394513;5
352;352;;;I Would give it 10 stars !;5550394513;5
353;353;;;Very Helpful;5545073551;5
354;354;;;Keeps up the good works to the team;5545073551;5
355;355;;;so helpful ! !;5544232234;5
356;356;;;easy to use , no ads ! super informative !;5544232234;5
357;357;;;Super cool info !;5540628738;5
358;358;;;helpful and neat info;5540628738;5
359;359;;;Awesome;5538605794;5
360;360;;;Good one;5538605794;5
361;361;;;Great app;5536741482;5
362;362;;;Great app , usually quite accurate .;5536741482;5
363;363;;;Use it to check my location;5536741482;5
364;364;;;’s aqi all the time;5536741482;5
365;365;;;Air Purity Advisory;5534896551;5
366;366;;;I use this apply on daily with my weather app to check air quality .;5534896551;5
367;367;;;It ’s great !;5531759520;5
368;368;;;A great app !;5531759520;5
369;369;;;Rate of app;5524038314;5
370;370;;;It ’s good app;5524038314;5
371;371;;;Its function well deserves its name;5517023096;5
372;372;;;AirVisual does a great job visualize the air quality .;5517023096;5
373;373;;;Quite accurate;5516369424;5
374;374;;;I like using this App .;5516369424;5
375;375;;;It ’s accurate where we are .;5516369424;5
376;376;;;I use it everyday;5504405810;5
377;377;;;Great app;5504405810;5
378;378;;;Local Air quality;5498774886;5
379;379;;;Updated official   air quality scores   Unfortunately does not show pm 2.5 particles bur that is ‘ cause our officials do n’t report it ....;5498774886;5
380;380;;;The app works smoothly;5498774886;5
381;381;;;Nice app;5497047568;5
382;382;;;So far I love this app .;5497047568;5
383;383;;;Different functionality ’s allow me to get the info I need to breathe safely .;5497047568;5
384;384;;;Just needed for some of us;5496206989;5
385;385;;;This is one of the many indicators that I place some confidence in , and am grateful for .;5496206989;5
386;386;;;Great tool;5491373632;5
387;387;;;Great tool to get up - to - date information on air quality of the area of interest to you .;5491373632;5
388;388;;;Must have health app !;5489967472;5
389;389;;;I am living in Belgrade .;5489967472;5
390;390;;;Recently we have had severe air pollution .;5489967472;5
391;391;;;App helped me go trough and stay informed all the time !;5489967472;5
392;392;;;Thanks !;5489967472;5
393;393;;;Air Visual is outstanding !;5486439209;5
394;394;;;It helps me know so many aspects about my health and well - being .;5486439209;5
395;395;;;I check it many times per day to ensure it is safe to breathe the air !;5486439209;5
396;396;;;Great app;5485761118;5
397;397;;;Good tool to help guide outdoor activity planning .;5485761118;5
398;398;;;Very good app;5479241472;5
399;399;;;It helps to know the air quality in your town .;5479241472;5
400;400;;;Very useful;5477630200;5
401;401;;;Does what its supposed to do .;5477630200;5
402;402;;;Very helpful;5473123757;5
403;403;;;I check it every day during burning season !;5473123757;5
404;404;;;Awareness;5469788569;5
405;405;;;Love to have something that guides my activity level for the day .;5469788569;5
406;406;;;Pollution is inevitable however knowing how much particulate is in the air is valuable .;5469788569;5
407;407;;;The app is super accurate;5467665966;5
408;408;;;It does reflect the real air pollution status;5467665966;5
409;409;;;Hello from Zlatibor ( Serbia );5466228173;5
410;410;;;Great app .;5466228173;5
411;411;;;So helpful 👍 🏻 👍 🏻 🌲;5466228173;5
412;412;;;great app;5463634382;5
413;413;;;helps a lot;5463634382;5
414;414;;;Eisa;5460840866;5
415;415;;;Very useful for me as frequent traveler .;5460840866;5
416;416;;;I can add multiple cities and I love the dashboard and the suggestion for protective measures .;5460840866;5
417;417;;;Amazing app about pollution;5460141121;5
418;418;;;I recently went to New Delhi , Punjab , Rajasthan and Haridwar in India .   ;5460141121;5
419;419;;;My chest was burning so I wore my mask to filter out pollution .   ;5460141121;5
420;420;;;I found this app , and it was very helpful to understand what was going on in real time .   ;5460141121;5
421;421;;;This app and system is a Godsend .   ;5460141121;5
422;422;;;I ’m glad I live in the mountains of Virginia , where the air is clean most of the year .   ;5460141121;5
423;423;;;Thanks for the great work the developers have made to keep us healthy .;5460141121;5
424;424;;;Love it !;5459477420;5
425;425;;;Takes a bit to get used to the verbiage ,;5459477420;5
426;426;;;but is very very useful .;5459477420;5
427;427;;;I like how you can set specific zip codes to get a true rating of your air .;5459477420;5
428;428;;;Amazing app;5458602145;5
429;429;;;Very useful;5458602145;5
430;430;;;Fanatic !;5458201734;5
431;431;;;Love how thorough and that I can see locations all around the world .;5458201734;5
432;432;;;Great breathing !;5456196634;5
433;433;;;We are very happy with the app .   ;5456196634;5
434;434;;;It keeps us abreast of air quality everywhere we travel .   ;5456196634;5
435;435;;;Good to know if the air already poses concerns .   ;5456196634;5
436;436;;;So good to have it in the age of the coronavirus coming to our shores .;5456196634;5
437;437;;;Great app - air quality at a glance;5455652714;5
438;438;;;Very easy to use and quick way to be aware of local and worldwide air quality trends .;5455652714;5
439;439;;;Get your air quality index FAST;5455129123;5
440;440;;;This app is great saves a lot of time and is comprehensive covering basically all occupied countries .;5455129123;5
441;441;;;Awesome finally ...;5455129123;5
442;442;;;everyone should check this app daily ! ! !;5455129123;5
443;443;;;Good for people that have breathing problems;5453864568;5
444;444;;;I am a mother of 4 kids and 2 of my kids have severe asthma and so do I.;5453864568;5
445;445;;;As a mother I try my best to not let my kids get sick and that they have their medicine in the house in the car and in school even in my sister and my dads house have my kids medicine because it ’s hard to tell when will they have a breathing problem and now a days;5453864568;5
446;446;;;the weather and the pollution it ’s good to have this app to know how safe and how to plan the day even better;5453864568;5
447;447;;;Nice app !;5448026039;5
448;448;;;This app is really nice and useful .;5448026039;5
449;449;;;Thanks to developers .;5448026039;5
450;450;;;Great app;5447839940;5
451;451;;;I thinking of buying device ! :);5447839940;5
452;452;;;The quality of wether;5445621375;5
453;453;;;It 's good however it make me stressed as I get my local is polluted most of the year;5445621375;5
454;454;;;Super easy to use;5444758631;5
455;455;;;I ’m visiting overseas and needed to the air quality .;5444758631;5
456;456;;;This app is very easy to use and helpful .;5444758631;5
457;457;;;Air quality;5444391276;5
458;458;;;This app has helped me tremendously .;5444391276;5
459;459;;;I ’m on oxygen and need to be careful .;5444391276;5
460;460;;;Makes you aware;5444384846;5
461;461;;;Thanks to this app I know when to be more careful about spending time outside when there is a lot of pollution outside !;5444384846;5
462;462;;;I love in South Korea so I use this a lot !;5444384846;5
463;463;;;Great App;5444371408;5
464;464;;;Really like it .   ;5444371408;5
465;465;;;It is helpful and easy to use .;5444371408;5
466;466;;;About app .;5442191886;5
467;467;;;Very good app .;5442191886;5
468;468;;;Air quality;5439243847;5
469;469;;;We are going to Australia/ New Zealand in a few weeks .;5439243847;5
470;470;;;We have been concerned about the wildfires .;5439243847;5
471;471;;;This app has been very helpful .;5439243847;5
472;472;;;Nice but could be faster;5437797598;5
473;473;;;This is an incredibly useful especially for those who live in a not - so - clean area .;5437797598;5
474;474;;;But the App could be faster especially in the map view mode that some of the data points could be averaged out to reduce the display data which would not only make it easier to glance;5437797598;5
475;475;;;but also would make the App runs a little more efficiently in the map view mode .;5437797598;5
476;476;;;Useful !;5435603190;5
477;477;;;The app helps me to know when it ’s a good time to go out ! !;5435603190;5
478;478;;;Very useful;5433005828;5
479;479;;;I used the app almost everyday .;5433005828;5
480;480;;;Love it .;5433005828;5
481;481;;;Great information;5430679461;5
482;482;;;Hopefully knowing will help us change behaviour;5430679461;5
483;483;;;Hi;5430185799;5
484;484;;;Fantastic app , it helps a lot ...;5430185799;5
485;485;;;Great app !;5430049624;5
486;486;;;Great app ! !;5430049624;5
487;487;;;Very helpful;5430049624;5
488;488;;;Nope , not run today ...;5428772881;5
489;489;;;I have lived in Shanghai for over 20 years and before this app , we only knew the air quality could n’t be good .;5428772881;5
490;490;;;The local reports back then were always “ optimistic ” .;5428772881;5
491;491;;;Now with this app , I have instant and accurate data on the air around me and anywhere else in the world .;5428772881;5
492;492;;;It ’s been a real eye opener and breath of fresh air ...;5428772881;5
493;493;;;well maybe the opposite on many days here .;5428772881;5
