;review_id;rating;title;review_date;user_name;review;response_id;dev_response;response_date;lang-r
13;3684132173;5;Phone app works great, just not the watch;2019-01-23T06:35:01Z;SixCrazyPants;The iPhone app does well with providing detailed info.  I love the GUI and the ability to see other parts of the world.  However the apple watch app is completely useless, as all it does is tell me to log in, when I already am.;;;;en
4;3677839043;5;Phenomenal and Life Saving;2019-01-21T14:37:57Z;MDTannen;Plume worked so well to protect my family members that I purchased the economical portable Flow device to track air quality. We’ve used the software and the portable device for a year in many cities in the USA. Plume and Flow apps are very easy to use and are extremely accurate and effective. We highly recommend the software and the portable device to others around the world.;;;;en
61;3571760985;5;Elegant interface;2018-12-25T15:43:22Z;dmatthies;Shows what is essential with zero clutter.;;;;en
78;3460232126;5;Great in every aspects;2018-11-25T21:22:26Z;GThabot;Great app!;;;;en
24;3451768942;5;This is the one;2018-11-23T18:34:48Z;LMRAT;Best air quality app I’ve tried. Includes cites around the globe that other apps don’t bother with. No annoying “features” or pushes to buy things you don’t need. Perfect.;;;;en
81;3398622062;5;Breeze;2018-11-09T15:27:44Z;JavierCat;Yes!! I am wearing a mask;;;;en
46;3228665908;5;Awesome;2018-09-25T13:42:48Z;TGS Chaos;Not only does this app tell me how it is at this second, the app tells me how the air will be in the future;;;;en
7;3100738108;5;Breathe Easy and Clear;2018-08-22T21:53:17Z;Seeking Language Genius Status;Plume is by far the absolute best monitor and reporter of air quality. Plume allows me to be proactive.  Plume shows the air quality so that I can make sure that I am located by an air filter when the air quality index is high and this shows why my asthma is bad. No other app does this. Other apps show pollen and other pollutants but not what plume shows you.  Breathe easy and clear with Plume.  You need Plume now!;;;;en
35;3085151473;5;This App Has It All;2018-08-19T07:07:57Z;xANAx;Intuitive layout with excellent features and multiple customizable options. Five stars!;;;;en
41;3052814050;5;IphoneX;2018-08-12T06:12:08Z;I/love;Can’t do with out... the better feature is long term tracking;;;;en
3;2163867122;5;Great if you have asthma;2018-02-03T23:25:26Z;Much Kuler;"I use this daily so I know the best time to go out for exercise. You can set up morning and evening notification updates. Love that it automatically locates the city you are in which is great since I travel a lot. 

The developer is very timely in responding to requests. Would like to see option for am/pm in addition to the 24 hour clock. 

Under the Settings tab, there is an offer for a hand held air quality monitor for those who are interested in taking their own readings.";2469302.0;Thank you very much for your suggestion. We value all feedback from our users here at Plume, and I have logged your request as part of our ongoing development process. We are constantly working to make our global forecasting more in depth, but as you can imagine it is an incredibly complex process requiring extensive resources. Little by little, however, we are working to make the air you breathe more transparent. If you have any other feedback or requests, don't hesitate to drop us an email at support@plumelabs.com! Thanks again, Joe for Plume.;2018-02-01T14:29:16Z;en
31;2021188218;5;Know what you breathe...;2017-12-23T18:40:58Z;STOP'n SHOP™;The power of information in crucial aspects like clean air is the most valuable data you can have to keep your health!;;;;en
0;1977613148;5;Everyone should be using this APP;2017-12-07T14:41:53Z;KC3M;"I've been using Plume for almost a year and have introduced it to many people who were not aware of how important it is to monitor AQI especially when you have young children. My children also use this App on their own now. 
I love the new improvements and the ease of use. As an outdoor athlete it has helped me tremendously in managing the quality and amount of time I spend outside over the last year which in turn has impacted my health and the health of my family. I highly recommend.";;;;en
40;1973897455;5;Works grate around the world!;2017-12-06T03:25:28Z;d_b83;After the last update it started working in Mexico, excellent product!;1927836.0;Hi there! Thanks so much for your review. We've just released a major update to the app providing air quality forecasting for every city in Mexico, in fact, every city on Earth! I hope you enjoy downloading the update and having a look around. All best wishes, Joe for Plume.;2017-12-05T08:55:36Z;en
60;1927929963;5;So Helpful;2017-11-17T16:31:47Z;will728392;The morning pollution notification is fantastic! Can’t wait for Flow!;;;;en
62;1926862865;5;Wow, excellent, amazing;2017-11-17T06:05:01Z;Flanoos;"- This is the first app that support Afghanistan.
- It really support all the world.
- pollution map is amazing.
- no advertisement and still free?? are you kidding me.
- already in low.
- been waiting for this app all long time.
- thanks, thanks, thanks";;;;en
10;1711850968;5;Top Notch App!;2017-08-04T01:37:23Z;worldwyn;This is really a great app if you or a loved one has respiratory issues or you are just interested in tracking air pollution.  There are many features and a lot of ways to look at various pollutants in many major international population areas. I love the various history graphs showing short, medium, and long range views.;;;;en
22;1674688065;5;Wonderful app especially for travelers;2017-07-09T01:45:24Z;LuGood531;This app gives real time air quality data for areas where I live and travel. Pollutants are identified for each, which is most helpful.;;;;en
26;1665556601;5;Awesome app!!;2017-07-02T03:04:12Z;Jenjoon;This app is SO useful for real-time info on air quality! This is such an important issue to address and this app helps provide the information you need to be healthy!!;;;;en
80;1610901992;5;Great app!;2017-05-11T09:10:39Z;hjhjsj;Very useful!;;;;en
71;1583762035;5;Such great design;2017-04-08T11:56:41Z;GaetLePouet;Really love this app.;;;;en
55;1552482348;5;Great information;2017-02-25T18:32:59Z;Omar Jonguitud;Quite useful;;;;ro
85;1517383848;5;Great;2017-01-07T20:44:13Z;Ronald-roz;Love it;;;;en
52;1508542873;5;Visually Beautiful PLUS most informative;2016-12-25T06:47:59Z;HealthSeeker100;I love the daily moveable graph - presents information in a very clear and useful manner.;;;;en
66;1459716406;5;Useful;2016-10-02T14:03:50Z;HDBadBoy HR;Why wouldn't you want to know. I live in the Las Vegas valley area and polution is a growing concern.;;;;en
47;1426676903;5;Wonderful app;2016-08-04T18:55:29Z;Brio Boy;Best app to get accurate real-time information on air-quality.;;;;en
91;1391667095;5;THE BEST.  PM 2.5 included.;2016-06-09T18:32:00Z;Mercedes2u;I love this app. if you are like me -concerned about your health and the quality of air you breathe throughout the day.... this app is for you. The app sends me daily notifications morning and evening on all categories when safe to be outdoors breathing in healthy air -in your area. 💚;;;;en
109;1381405290;5;Your environment at a glance!;2016-05-20T12:40:12Z;Sparky Lisle;"Set your activity level and know your current environmental risk from a PRO.
Simply a great APP!

- Air Permit Engineer";;;;en
103;1374054911;5;Eye opening;2016-05-05T23:09:21Z;RageRunner244;Great little app to show you daily air pollution levels. Had no idea how bad the air was until I opened the app.;;;;en
93;1362293074;5;Makes the invisible (pollution) visible;2016-04-12T07:30:50Z;Realetime;Plume puts a number on some of the primary air pollutants affecting our health. Seeing this data everyday,  illuminates the fossil fuel problem and how it directly affects us. We need more apps like this to motivate people to fix the problem.;;;;en
95;1358649687;5;You can't fix a problem until you acknowledge its existence.;2016-04-05T00:04:09Z;Patrick McMillan;This app is a daily reminder that pollution is the number one crisis in the world today. Let's fix it. Ban the fossils!;;;;en
113;1342211727;5;Excellent app;2016-03-03T21:03:15Z;LAxBULLET;Cool features and is entertaining on its own.;;;;en
111;1336797606;5;Works well, looks nice;2016-02-22T03:43:24Z;Glnicole;Does what it claims to do, and does it well.;;;;en
96;1331410643;5;Great app;2016-02-11T17:09:00Z;Terming;I have chronic asthma but I am also a exercise fanatic so knowing when I can and should run is crucial. This app has been very accurate in helping me manage my activities!;;;;en
87;1326349094;5;Great app;2016-02-02T02:10:06Z;Just336674;"Great app with a simple and friendly user interface. Has PM2.5 now with recent update, however it would be nice to see and graph every parameter at each station. You also can't see CO in the current day view, but you can see it in the week view (bug?).

Even if it has its issues, I can tell this is a very active developer, and I wouldn't be surprised if this becomes the best and most simple to use pollution forecasting app. I see this app as becoming the Dark Sky of pollution forecasting.

If you want power user features while sacrificing user interface, there are apps that can give you more data and access to specific stations.";;;;en
94;1309623514;5;Nice job collecting & presenting this data;2016-01-01T17:50:07Z;DC-CA;Well done. I can't believe you are getting some bad reviews for missing cities - it's amazing you have pulled together all of the data from those different sources.;;;;en
110;1274953763;5;Great app;2015-10-21T13:26:02Z;DAS50;But with room to further improve it.   Very much helps with awareness of how bad the air is you breath.;;;;en
102;1265883396;5;Ready to use and understand;2015-10-02T15:43:38Z;Rocketgurl;I love that I can choose my favorite activity and at a glance see if I should go out or not.;;;;en
88;1259952068;5;Awesome — improves health!;2015-09-20T01:11:11Z;From Soma to Soho;Works great! I rely on this beautifully-designed app and its notifications everyday: when pollution peaks, I avoid biking to work or dining on a terrace. I've always been conscious about my health (good diet, exercise, check-ups) but never thought about the respiratory dangers of urban air pollution until I discovered this app. Now I know. My lungs thank you!;;;;en
100;1259768672;5;Fantastic app for parents, runners and bikers;2015-09-19T15:44:33Z;Parentinboston;Lets you decide when to exercise, run, bike or take your kids outside based on pollution -- both current and forecast!;;;;en
116;1259317053;5;Great app;2015-09-18T17:39:33Z;Mitch295;Love it!;;;;en
105;1259103955;5;Useful information on pollution;2015-09-18T08:16:17Z;LemonsAndIce;Great app! Had to kill and relaunch the app at start, but now it works flawlessly.;;;;en
90;1200599044;5;Great app for those who like to breathe clean air;2015-05-21T15:37:44Z;SpyAnt007;So far I’ve used this app both in LA and Paris. It’s interesting to see how the pollution changes over the course of the day, and since I  can either walk or bike to work (in Paris), I can decide which is better for my lungs depending on the pollution level.;;;;en
23;5858058027;4;New look, but something about street view;2020-04-24T16:03:54Z;gizmo9879;I am fine with the new design, even though I personally like the old design. There is no more crashes but I cant zoom into the New York street view, but for some reason I can for Philadelphia;14889962.0;"Hi,

Thank you very much for your comment and the 4-star rating. Please feel free to contact us at airreport@plumelabs.com if you would like to share with us a more detailed feedback.

All the best, Antoine Simon, Product Manager";2020-04-24T12:20:46Z;en
79;5754408606;4;loved the app before not the update;2020-04-03T05:57:44Z;Lovelytissues;i loved the app and the cloud face indication but the update now is just not inviting and comfortable as before;;;;en
21;3207310292;4;Lots of great information;2018-09-19T18:03:32Z;current key bell;"Intelligent design giving a lot of information combined together in this app. 
Almost perfect but I wish it could be a little faster to display data and have the world map default to your current location instead of the EU.";;;;en
48;2858187766;4;Nice App;2018-07-07T17:18:11Z;What's the point of a nickname;Wish they allowed you to change 24 hour time to 12 hour time.;;;;en
1;2030111284;4;Look no further!;2017-12-26T22:04:10Z;Jacques Matineau;"This app does what is says and quite well. 

I’ve used it in Chinese, Japanese and English and the functionality was consistent across all three languages. 

The limitations I could see were;

(1) there was no way to modify the city list; you have to first delete the cities and re-enter them in the order you prefer. 

(2) when you delete a city, the last city in your list is “promoted” to top of the list.  That makes it even harder to re-sequence your list...

and, 

(3) there is no way to select which city appears in the widget, so if you want to see your city at a glance (in the widget) it has to be at the top of your cities.  Otherwise you have to fiddle around with the list, back to (1) and (2).

Finally (4), there is no way to add air quality tracking stations that may not otherwise be listed in the city list. 

Truth be said, these are really minor points that don’t take away from the functionality and useful information, at all. 

Great app. Recommend it if you’re tracking air quality in your area.";2145616.0;Many thanks for your review and detailed feedback! I've passed on your concerns to our development team to take into account for future updates. Your feedback is incredibly valuable to us and we hope to address your concerns in the near future. If you have any further suggestions don't hesitate to get in touch with us at support@plumelabs.com. Thanks again and all the best! Joe for Plume.;2017-12-27T16:33:02Z;en
6;1821382284;4;One word VOG;2017-10-01T20:38:04Z;VeryMissBerrie;I like how this app works, it’s practical and it looks for a lot of particles in the air that could cause allergy sufferers to have an episode. Problems I gave it a 4 Star is Hawaii has something unique called vog. I noticed it did saw it could measure this. But I saw on the app that today October 1st we had clean air, when I looked outside my apartment window you can’t even see the ocean or mountains because the haze was so thick. Figured maybe you could people in Hawaii out :) other than that when I travel it helps a lot.;;;;en
5;1541178067;4;Effective, clear, useful.;2017-02-10T06:21:36Z;jamexcel;The data visualization/interface is intuitive, effective and powerful. I have not analyzed the accuracy of the data, and I am sure that in a large city such as Toulouse it might be inaccurate depending on where you are, but as far as using it as a general indicator as when to plan our outings with our infant, it's useful. I wish there were more data samplings that would allow the app to differentiate pollution levels between a secluded park and a major motorway. If this could tap into amateur data readings, that would be ideal!;;;;en
11;1440333084;4;Great tool-;2016-08-28T00:16:47Z;Kd278;This app provides wonderful information on air quality. This is especially helpful because I have a small daughter and want to protect her as much as possible. However, we live in a smaller city and the app only update every few hours, so it is not always reliable in real-time. It's great for a historic view of air quality. To see the typical times air quality is bad/good.;;;;en
99;1338523087;4;Info Three Days Old;2016-02-25T16:01:17Z;JF212567;Interface is great but the app is always displaying info from three days ago. Not sure what the issue is. I have spent time trying to fix it to no avail.;;;;en
92;1316533828;4;Great App when It Worked;2016-01-14T23:58:49Z;rkkuhn;"This app has Houston listed as a city. When I first downloaded it, it worked great. Clean, simple, and nice to use. Sadly all I get now is a messaging stating ""no current data at this time."" I do hope they are able to fix this soon. I really enjoyed the app and would like to use it again.";;;;en
101;1316033723;4;Where's the pm2.5 number?;2016-01-13T23:13:12Z;Yowzoe;"A very good start, but compromised by not having the *option* of looking at pollution indices using the standard ways it is measured worldwide. 

This is a frustrating missing data point (perhaps the devs felt they had to ""make it accessible"" (dumb it down)?

Options are always good – please step it up and add indices like the pm2.5 (particulate matter) number, at least as a user *option*.

An otherwise beautifully produced app.";;;;en
107;1303080474;4;Really good app but the UI leaves something to be desired;2015-12-19T22:16:12Z;Absolutjct;App looks good and has great functionality but some good data is hidden and annoying to get to.;;;;en
97;1241158028;4;Very beautifully designed and useful;2015-08-11T01:10:36Z;daschles;My only complaint is that the apps standardized index for pollution doesn't match up easily with measures other forecasters use. But as long as you are willing to use its measure, it is a great design and useful tool;;;;en
57;5848237592;3;miss world map;2020-04-22T13:40:15Z;LAMitchell9;The update changed the world map to a series of pinpoints, which does nothing to get an overall look at world air pollution.;14889894.0;"Hi,

Thanks for your feedback. Each pinpoint highlights a pollution street-level map accessible when you zoom in, or by clicking on the choose a city tab below the map. We are currently working on integrating the previous global World Air Map on the latest application.  Meanwhile you can still have access to it at the following address: https://air.plumelabs.com/en/

Please feel free to contact us at airreport@plumelabs.com, to share with us other feedback or comments.

All the best, Antoine Simon, Product Manager.";2020-04-24T12:17:44Z;en
65;5766802204;3;Not liking the update;2020-04-05T15:44:51Z;Sansan's Leelee;I prefer the older version. This version blows.;;;;en
9;5164461517;3;Almost always out of line with other info;2019-11-18T14:16:43Z;BadAp57;"It’s hard to understand this app, but the general message is always worse than everything else I see. One time it was green and the AQI was good (low). Plume had a frown and said high. Things are bad enough without exaggerating. Since it’s so different from other apps it would be nice to have a key.

It is cute, but the information I’m looking for is pretty simple and as far as I can tell it’s inaccurate here.";;;;en
56;3948720181;3;It was going great....;2019-03-31T00:21:33Z;ultimateroses;Then I woke up and opened my app, I can’t see any updates. The screen is just a blank blue. Please fix so I can get back to checking if I have to wear a face mask here in South Korea!;;;;en
123;3522764990;3;Could be great...;2018-12-12T14:20:12Z;capitanpano;"IPhone app works good, except that if you take a look in future time and then want to refresh the app to the time you are in you need to force quit the app and open it again.

Then there is the problem with the Apple Watch app... At least used to kind of work before and get some information from the iPhone app, although it never actually worked while I was exercising on LTE data by its own. And now it just simply says that I have to sign in on my iPhone where I'm already signed in.

And then there is the Flow product that I would love to buy and contribute to the cause but they don't send it to Mexico.";;;;en
42;3488722791;3;Where's Brooklyn NY;2018-12-03T12:11:55Z;jasmartin2;often the air quality. in Brooklyn is different than other boroughs of NYC but this app only has one location for the city. (also its hard to switch from one place to another?);;;;en
53;3426526460;3;Great but poor world map;2018-11-17T03:17:34Z;mrbuffneff;Hard to see the country lines in the world map and it doesn’t have a “Where am I” button.  Always starts you in Europe.;;;;en
28;2672664918;3;Locations are off;2018-06-10T18:21:25Z;unevagess;"I live on Hawaii’s Big Island, yes we have this volcanic eruption. The detailed locations are having their different ratings but some are named the same, even though far apart. 
Also was not able to delete some locations. 
Otherwise seems to be working";;;;en
17;2267645727;3;Lots of potential but needs work;2018-03-03T20:57:37Z;a hill;"Lots of potential and great for people like us who live in 3rd world countries and are always worried about dust or factory or car pollution.

The widget is a nice touch (*Update* the widget is erratic (‘unable to load’ - unless you click it, it needs work).

The app needs a better UI with colours signifying good to worse pollution ratio (green to yellow to orange to red to purple - for example)";2631422.0;Hi there, thanks so much for your review! We take all feedback seriously here at Plume, and I've logged your suggestion to pass on to the development team. We are constantly striving to improve the in-app user experience. If you have any other suggestions please do send us an email at support@plumelabs.com and a member of our team will be in touch to discuss them. Thanks again! Joe for Plume.;2018-02-20T18:10:01Z;en
59;1948976434;3;Account needed;2017-11-26T00:36:03Z;squeebus;"The latest version requires that you create an account.
Annoying";;;;en
32;1539961753;3;Good but not accurate in large city;2017-02-08T13:12:17Z;Fyrisle;The air varies from neighborhood to neighborhood in NYC so Plume is not very useful when it gives a single reading for the entire city. I do see it as useful when I visit my parents in the suburbs though as they live in an area that is that is geographically smaller.;;;;en
127;1456495162;3;A lot to like - but needs some polishing;2016-09-27T03:55:13Z;Schupman;Plume is a great resource to have (I live in Singapore where the air quality at times becomes miserable). But the data regularly cuts out - in the sense that the app does not receive new data and instead graphs a horizontal dotted line. In such cases, I go online to singapores haze.gov.sg site to get the data (where it is all regularly published). I'd rather not have to open a second app (my browser) to get this information. This should be fixed. The data is accessible enough.;;;;en
119;1300341171;3;Austin??;2015-12-14T04:58:57Z;tomturbo2000;Austin is listed as a city but no report :(;;;;en
108;1295790068;3;Still has bugs, needs more cities;2015-12-04T17:22:25Z;Back in the MSSR;Good UI, but some buggy navigation, and lack of cities listings. There are no Ohio cities for instance,  even though Cincinnati and Cleveland areas weigh in as top 10 year round particle pollution in America.;;;;en
89;1274705261;3;No pm2.5 number;2015-10-21T00:05:22Z;Aeolian.Mode;"Good interface; clean, easy to read for me, simple and just good looking. It's a shame though because there isn't a pm2.5 number, which makes this app good only for the layperson. What does, and I quote from the app, ""the temperature of your city's air pollution"" even mean? Just display the air quality in the official scientific number, the pm2.5 number. Don't try to reinvent it. Tell me that today in Beijing it is 122 pm2.5 and that this is high; don't tell me that the plume index is 91.";;;;en
118;1272727683;3;Poor App Contrast;2015-10-16T22:31:44Z;0044512;It's difficult to see the text on screen due to the grey brown color or bright blue.;;;;en
112;1266977312;3;Nice app weird numbers;2015-10-04T18:08:04Z;Gregos Angeles;Great app but the measures have changed since the launch. Very confusing to know the right pollution levels for Los Angeles.;;;;en
98;1203195315;3;Love it, but...;2015-05-27T04:43:29Z;Nightpast;"It is amazing! Guys I really want to thank you for what you have done! And it's and awesome idea! 
My only huge problems, is that I recently moved to another country for a couple of years, and you don't have it :(
It is the capital of Chile, Santiago, and it is so polluted. I just really wished you could add it! Please!";;;;en
18;5790085938;2;Dubious update;2020-04-10T09:02:32Z;Martinmusic;You lost some of the best parts of the app. Being able to squeeze the charts to see however longer timeline was great. Now there is no referenced point for the bar charts. Also data seems to have been changed. It no longer coincides with my hand held air quality monitor I test our neighborhood with which previously matched your data. No longer. Threw out the baby with the bath water.;14890423.0;"Hi,

Thank you very much for your feedback. Sorry you're having a less than ideal experience so far. We'd really appreciate hearing more so we can do better! Could you please contact us at antoine.simon@plumelabs.com to share your feedback and comments? 
I would be thrilled to discuss with you about the app so you could improve it to match your expectations.

Best regards, Antoine Simon, Product Manager.";2020-04-24T12:38:55Z;en
76;4960755223;2;Air quality;2019-10-17T14:14:35Z;kirongo;Here in thermal, California, there’s a lot of smoke.  One can hardly breathe and your app says it’s ok to go biking.  Give me a break!!!;;;;en
39;3952518986;2;world air map doesn't appear;2019-03-31T18:13:17Z;BA customer;I liked the App when I installed it few months back and I especially liked the world air quality map. Sadly , the map stopped showing last time I checked. I reinstalled the app but still the map stopped showing.;;;;en
124;3508383051;2;Daily numbers bear no resemblance to other services or even EPA;2018-12-08T16:21:43Z;swyost;I can certainly see the merits of the app but at least where I live there are better options. In El Paso the daily numbers are grossly inaccurate compared to every other service. They all cluster within the same range and Plume is laughably higher.  They are so far off, you would think Plume set up air quality monitoring equipment on Interstate 10 at rush-hour or at the bottom of an active gravel pit.Today would be a good example. Having checked various apps and services and EPA data, air quality in the vicinity is moderate to good. According to Plume, it is very poor. Either everyone else is wrong (including my view out the window) or Plume needs to take a close look at its data sources.;;;;en
27;3105625660;2;Doesn't provide accurate info.;2018-08-24T00:20:47Z;Lmonkeyee;"The interface is nice and easy to use, but the app doesn't show a standard Air Quality Index (AQI), but rather it's own made-up ""Plume Index"" that doesn't seem to correspond to anything. When emergency AQI warnings we're being issued in my city for unhealthy air, this app still said it was only ""moderate."" So you can't trust the info you're getting.";;;;en
36;3097336819;2;Unsure of accuracy;2018-08-22T02:31:49Z;Jeff-707;"Initially, i thought this app was great.  Very easy to use.  But the more and more I used, the more I was concerned about it’s accuracy.

I have found multiple instances where the trend visuals do not align with the AQI number itself.

At this point I’m not sure which is more accurate, number or trend. Or worse, both.";4794437.0;Hi there! Thanks for your review, I'd be grateful if you could reach out to support@plumelabs.com with more information about the issues you've described. It may be due to the AQI units selected in your app. Please note that the trend curve is always displaying results in our Plume AQI, even if a different AQI is selected for the numbers in the app. Don't hesitate to get in touch if you require further information. Best, Joe for Plume.;2018-08-24T10:27:35Z;en
58;3087206309;2;Unsure of their data source;2018-08-19T17:21:47Z;LiquideFeline;Multiple times the app has told me that air quality is decreasing or has decreased but the official airnow sensors have remained in the green. This app looks neat but doesn’t give reliable data.;4794467.0;Hi there, thanks for your review! Would you please be able to contact support@plumelabs.com to let us know which city or cities you are referring to please? I'd be more than happy to follow up any concerns you may have with our air quality forecasting. Our team of atmospheric and data scientists is working hard to improve in-app forecasting, but any help our users can give us is always gratefully received. Thanks in advance! Joe for Plume.;2018-08-24T10:31:18Z;en
126;3065481891;2;Inaccurate??;2018-08-15T01:42:35Z;jennirmklee;"The app isn’t reporting the same stats as the online version of Plume. The app states an AQI of 48, while the website indicates very high pollution with an AQI of 126. Also, airnow.gov shows 171. All PM2.5 numbers. Based on this, the app is not at all useful. 
The interface is beautiful and intuitive, so there is potential.";;;;en
63;2887695244;2;Great app, but doesn’t work anymore for me;2018-07-11T23:16:02Z;Isopotonic;Can’t open it anymore, it keeps crashing upon opening. The daily AQI notification still works though, strangely.;;;;en
73;2046084461;2;Good but not great;2018-01-01T05:15:57Z;5 star = 250 coins?;It seems to work fine, but I can’t figure out how to add the locations I want to check easily. Sort of limits its usefulness!;2180788.0;"Hi there! Thanks so much for your review. To add a new city, simply tap the addition sign symbol in the top right of the ""Live & Forecast"" screen. Once you've selected the city you want, you can swipe left and right on the ""Live & Forecast"" screen to cycle between your favourite locations. Access the cities menu under ""Settings"" to delete any unwanted additions—just swipe on a city to remove it from the list. Many thanks again! Joe, for Plume.";2018-01-02T09:40:35Z;en
129;1305044767;2;"Austin TX is still not working...""No recent data available""";2015-12-23T17:11:29Z;Sionnachfox;"Update (2015/12/22)
Looks like Austin has been restored again and is now working.

Hopefully this will continue to work without issues in the future

----------
Again Austin TX is still not working for this app ? Why not guys ?

----------

When I first bought the app it was giving ""apparent"" accurate readings for Austin TX.

Then the daily push alerts started to give wildly inaccurate numbers (way high).
When you look at the app it now says ""no recent data available"" for Austin.
This city was available before and now it is gone ?

What's going on guys ?";;;;en
19;5878462594;1;Almost always reports having bad air quality;2020-04-29T06:55:58Z;storms002;I have been using this app for a month for checking the air quality. However when I go to check the air quality where I live, I usually get a high amount of pollution reading. I compared the readings from the my local news channel and they report good to moderate air quality. Not sure why the reading is so off, but as it stands now I cannot recommend using this app.;;;;en
82;5457486644;1;Not accurate at all.;2020-01-28T06:37:23Z;9Mit;Mumbai pollution is way above than what is shown on this app.;;;;en
86;5075859025;1;Makes no sense;2019-11-03T02:56:44Z;gavin newsome;"This app is egregiously wrong 
Deleting it";;;;en
74;5073209088;1;Does not load;2019-11-02T19:16:21Z;theguywhowastedhistime;I don’t know why it doesn’t load. My fiancé and I have tried from both of our phones. No data. Just blank;;;;en
33;5057489563;1;Far from accurate;2019-10-31T21:19:17Z;Aplefail;As of today this app is saying it’s almost 200 AQI when the skies are clear, blue and see as far as the eye can see. Other AQI apps are the same across the board and are low which is accurate. I wouldn’t take the information on this app serious as you’ll prob want to stay inside every day. Hahaha! Save yourself some time and don’t download this app.;;;;en
45;4853490697;1;Not accurate!!!;2019-09-28T14:54:37Z;Hddetgcsaoph;Do not trust this app it’s wildly inaccurate. When checking multiple other governmental sources and other apps for pollution, this app is the only one that falls very far off from the average. All the other sources will say the air is fresh and then plume is the only one that says the air pollution is high. Wrong, wrong wrong.;;;;en
64;3948393955;1;Nothing works;2019-03-30T22:39:47Z;Agustín Lansot;It worked fine until today, when suddenly nothing works. No information is shown and I can’t even delete cities.;;;;en
