,Unnamed: 0,review_id,rating,title,review_date,user_name,review,response_id,dev_response,response_date,lang,title_expanded,review_expanded
25,1603,5938285408,5,Support review,2020-05-13T03:04:12Z,Khuyetdanh,"Very usefull , i have plan to protect myself before go out",,,,en,Support review,"Very usefull , i have plan to protect myself before go out"
26,1690,5934800843,5,Very Useful,2020-05-12T07:46:56Z,fidysonsimon,"Especially useful in China. Great App, compatible with Apple Watch.",,,,en,Very Useful,"Especially useful in China . Great App , compatible with Apple Watch ."
27,2248,5933451088,5,Nice,2020-05-11T23:34:16Z,Long.Ng,Dark widget finally.,,,,en,Nice,Dark widget finally .
28,1814,5930883438,5,User review,2020-05-11T09:16:17Z,APM_1995,Very effective especially in myanmar,,,,en,User review,Very effective especially in myanmar
29,1322,5930421870,5,love my IQAir!,2020-05-11T05:58:50Z,allergiesnomore,I have learned so much about how to manage my air quality from IQAIR with the airvisual app and their awesome filter!,,,,en,love my IQAir !,I have learned so much about how to manage my air quality from IQAIR with the airvisual app and their awesome filter !
30,2094,5921498333,5,BadgerCS,2020-05-09T01:50:41Z,BadgerCS,Air Quality counts with outdoor activities,,,,en,BadgerCS,Air Quality counts with outdoor activities
31,1350,5914896991,5,Great app.,2020-05-07T13:48:34Z,tonycmbkk,Simply is the best. Thank you all for putting out such a awesome app to saves lives.,,,,en,Great app .,Simply is the best . Thank you all for putting out such a awesome app to saves lives .
32,745,5907524335,5,Is so helpful,2020-05-05T21:38:36Z,heha f,"Very good !! It helps me to diced if I can open my window or not , I have allergy and health problem so this up is very very helpful, thank you",,,,en,Is so helpful,"Very good ! ! It helps me to diced if I can open my window or not , I have allergy and health problem so this up is very very helpful , thank you"
33,155,5906459557,5,Best air quality indicator,2020-05-05T15:42:34Z,space time travele,"I started using this app when I was in Asia because I was worried about the air. It has helped me avoid running on notably bad days in the States as well.  Also, they improve the interface every so often.",,,,en,Best air quality indicator,"I started using this app when I was in Asia because I was worried about the air . It has helped me avoid running on notably bad days in the States as well .   Also , they improve the interface every so often ."
34,1000,5896168348,5,Love it,2020-05-03T05:46:06Z,cleantheair,Opens your eyes and makes you realize what damage we are doing to our planet.,,,,en,Love it,Opens your eyes and makes you realize what damage we are doing to our planet .
35,1351,5894974407,5,Fantastic idea and execution,2020-05-02T23:05:42Z,DavidElmo,It’s about free exchange and leverage; and the more this network expands the safer people with asthma and severe allergies will be. Thank you!,,,,en,Fantastic idea and execution,It ’s about free exchange and leverage ; and the more this network expands the safer people with asthma and severe allergies will be . Thank you !
36,501,5893802323,5,Very helpful,2020-05-02T16:25:13Z,Jennifer Broussard,I use this application throughout the day. I was recently diagnosed with asthma so I check the air quality before I do any outdoor activities. THANK YOU for making this app!!!,,,,en,Very helpful,I use this application throughout the day . I was recently diagnosed with asthma so I check the air quality before I do any outdoor activities . THANK YOU for making this app ! ! !
37,518,5893664449,5,Very Useful,2020-05-02T15:44:13Z,Ken in Pasadena,"I use this to decide when to let fresh air into my home, and when to close up and turn on the air filter. Very helpful app!",,,,en,Very Useful,"I use this to decide when to let fresh air into my home , and when to close up and turn on the air filter . Very helpful app !"
38,2681,5891595925,5,Love it,2020-05-02T04:36:31Z,bandegifts,Love it,,,,en,Love it,Love it
39,2438,5888893555,5,Great app.,2020-05-01T14:32:30Z,Hookman32,Great for trip planing,,,,en,Great app .,Great for trip planing
40,1003,5888026017,5,Great AQI app,2020-05-01T10:25:44Z,cdntide,Been using the app for about a month and it has been very accurate in our area.,,,,en,Great Air Quality Index app,Been using the app for about a month and it has been very accurate in our area .
41,1110,5881601868,5,Seems good. I haven’t compared it though,2020-04-30T01:09:32Z,to tu LOI te hk,Worth a try,,,,en,Seems good . I have n’t compared it though,Worth a try
42,1326,5881439081,5,Knowing how to breath,2020-04-30T00:20:08Z,Golfermind,This app lets me know whether I can take a walk or play golf that day.  It’s a life saver.,,,,en,Knowing how to breath,This app lets me know whether I can take a walk or play golf that day .   It ’s a life saver .
43,1352,5878742484,5,Awesome,2020-04-29T08:33:51Z,Logit567,Does what it says and more. Expensive to buy the machine but the app is wonderful!,,,,en,Awesome,Does what it says and more . Expensive to buy the machine but the app is wonderful !
44,1453,5863086265,5,Great app,2020-04-25T18:22:07Z,MetsDodgers,"I have COPD, this app lets me know before I go outside how the air quality is!",,,,en,Great app,"I have COPD , this app lets me know before I go outside how the air quality is !"
45,1709,5862592646,5,"If it’s accurate, very useful",2020-04-25T15:56:28Z,Stargazing4027,Thanks,,,,en,"If it ’s accurate , very useful",Thanks
46,476,5862280428,5,VERY Helpful,2020-04-25T14:30:06Z,californiaButtercup,"I LOVE this app!  I have allergies AND asthma and I can QUICKLY plan my family’s outdoor activities, by time of day, using this app.
Thank you, for using colors and icons vs having to dig through a lot of text.",,,,en,VERY Helpful,"I LOVE this app !   I have allergies AND asthma and I can QUICKLY plan my family ’s outdoor activities , by time of day , using this app . 
 Thank you , for using colors and icons vs having to dig through a lot of text ."
47,207,5859182067,5,Excellent App to check which country is leading us to global warming,2020-04-24T22:00:19Z,reybako,"Excellent App to check which country is leading us to global warming, asthma (PM2.5) and cancer (SO2 and NO2). I constantly look at the map/satellite option. Good App to take care of your and your family’s health. Keep up the good job.",,,,en,Excellent App to check which country is leading us to global warming,"Excellent App to check which country is leading us to global warming , asthma ( PM2.5 ) and cancer ( SO2 and NO2 ) . I constantly look at the map / satellite option . Good App to take care of your and your family ’s health . Keep up the good job ."
48,502,5855806028,5,Such a wonderful app,2020-04-24T04:44:17Z,Indymark64,It is so great to have this for us here in Cairo where air quality isn’t always so great.  It is nice to know which days to run outside and which days to stay indoors.,,,,en,Such a wonderful app,It is so great to have this for us here in Cairo where air quality is n’t always so great .   It is nice to know which days to run outside and which days to stay indoors .
49,101,5849043637,5,Real value in a free app,2020-04-22T17:17:20Z,Disabled RN,"I have used and told others about this app for years. I have a rare autoimmune disease with a myriad of debilitating symptoms.  But the most frightening is bouts of difficulty breathing. Before I open my door, or step outside, I look at this handy app to know if the big city air is likely to cause me problems. Trial and error has shown me that this app can make the difference. I love this app. I just bought the IQAir.  Thanks for helping me breathe easier, literally.",,,,en,Real value in a free app,"I have used and told others about this app for years . I have a rare autoimmune disease with a myriad of debilitating symptoms .   But the most frightening is bouts of difficulty breathing . Before I open my door , or step outside , I look at this handy app to know if the big city air is likely to cause me problems . Trial and error has shown me that this app can make the difference . I love this app . I just bought the IQAir .   Thanks for helping me breathe easier , literally ."
50,2451,5845101646,5,Excellent help.,2020-04-21T20:40:23Z,Palerider13,Great app,,,,en,Excellent help .,Great app
51,1353,5837682548,5,Very helpful!,2020-04-20T07:20:27Z,katiujin,Could be improved by dividing places into smaller areas or formal districts of the city!,,,,en,Very helpful !,Could be improved by dividing places into smaller areas or formal districts of the city !
52,592,5834550679,5,5 stars,2020-04-19T14:23:41Z,Von Bryner,"Really enjoy this app, I check it often. It’s a fun app to use.  It gives me the ability to make good decisions about my activities.",,,,en,5 stars,"Really enjoy this app , I check it often . It ’s a fun app to use .   It gives me the ability to make good decisions about my activities ."
53,2317,5824934382,5,Good app,2020-04-17T13:59:18Z,Sidm0re,Very helpful,,,,en,Good app,Very helpful
54,1278,5824269548,5,Must have,2020-04-17T11:04:16Z,__gopher__,"It’s super helpful if you live in industrial China or India, or like me in capital of Ukraine,  most polluted city on the world at the moment.",,,,en,Must have,"It ’s super helpful if you live in industrial China or India , or like me in capital of Ukraine ,   most polluted city on the world at the moment ."
55,1898,5818649378,5,Excellent app,2020-04-16T06:53:54Z,carma1969,Excellent app with a reputable company that makes hospital grade air purifiers for home.,,,,en,Excellent app,Excellent app with a reputable company that makes hospital grade air purifiers for home .
56,1607,5811283762,5,Chandler Man,2020-04-14T17:56:47Z,Prof. Of the truth,Great to know my air quality whenever I want!,,,,en,Chandler Man,Great to know my air quality whenever I want !
57,2170,5806537701,5,AirVisual is extremely informative,2020-04-13T17:49:02Z,Lennart Br,Great Pollution monitor,,,,en,AirVisual is extremely informative,Great Pollution monitor
58,2576,5806465277,5,bikegal2012,2020-04-13T17:27:30Z,Bikegal2012,Great App!,,,,en,bikegal2012,Great App !
59,1327,5799004445,5,A great weather whistler!,2020-04-12T03:28:01Z,ApplNw,Good notifications about the level of pollution in a place. Handy for 2020!,,,,en,A great weather whistler !,Good notifications about the level of pollution in a place . Handy for 2020 !
60,405,5796375594,5,Great Info!,2020-04-11T14:34:45Z,TooStresst,"It’s great to be able to check AQ with just a click. Shows proof that when cars are off the road we can make a huge difference. If COVID-19 has taught us anything, it’s that fewer emissions mean cleaner air.",,,,en,Great Info !,"It ’s great to be able to check air qualiy with just a click . Shows proof that when cars are off the road we can make a huge difference . If COVID-19 has taught us anything , it ’s that fewer emissions mean cleaner air ."
61,663,5795026913,5,Quick and simple,2020-04-11T08:18:13Z,Hugo E Martinez,I like the quick way I receive at a glance the information and can then dig deeper into it.,,,,en,Quick and simple,I like the quick way I receive at a glance the information and can then dig deeper into it .
62,415,5791928076,5,Amazing info for allergy sufferers like me,2020-04-10T16:58:50Z,Lumargm,Being able to keep track of air quality everyday helps me a lot and how to manage my going out of the house,,,,en,Amazing info for allergy sufferers like me,Being able to keep track of air quality everyday helps me a lot and how to manage my going out of the house
63,286,5783374950,5,"Smart, Simple, Attractive",2020-04-09T00:34:29Z,GoldenAge369,What a great idea to build an open source community to help people understand the air quality they are breathing.  Air quality is a growing concern around the planet.  The air you breath is just as important as the water you drink in my opinion.  This app is driving me to purchase the IQ Air sensor to go with my home air filter unit.,,,,en,"Smart , Simple , Attractive",What a great idea to build an open source community to help people understand the air quality they are breathing .   Air quality is a growing concern around the planet .   The air you breath is just as important as the water you drink in my opinion .   This app is driving me to purchase the IQ Air sensor to go with my home air filter unit .
64,1207,5771164574,5,Works,2020-04-06T14:02:30Z,quipwhip,Tells me when it’s safe to air out the house,,,,en,Works,Tells me when it ’s safe to air out the house
65,769,5761930201,5,Son with asthma,2020-04-04T15:53:25Z,<3 this app for asthma,Love this app and allows me to know when he can go outside to play or when we will have difficulties.,,,,en,Son with asthma,Love this app and allows me to know when he can go outside to play or when we will have difficulties .
66,213,5758738947,5,Great app!,2020-04-04T02:03:48Z,Lausanne19,"I love that it gives me the air quality in cities all over the world, it helps me to decide where to go in vacations, how my parents are doing in their city etc. Despite the present COVID-19 crisis I have hope that one day we’ll be able to go places again.

In Watertown he meantime keeping an eye on the air quality we inhale is super important.",,,,en,Great app !,"I love that it gives me the air quality in cities all over the world , it helps me to decide where to go in vacations , how my parents are doing in their city etc . Despite the present COVID-19 crisis I have hope that one day we ’ll be able to go places again . 

 In Watertown he meantime keeping an eye on the air quality we inhale is super important ."
67,2249,5756748210,5,Life Savers World Savers,2020-04-03T16:31:40Z,Dannyshammy,thank you,,,,en,Life Savers World Savers,thank you
68,2330,5747913928,5,Superb!!!,2020-04-01T22:22:11Z,78?06?,Great!  Very informative and helpful.,,,,en,Superb ! ! !,Great !   Very informative and helpful .
69,1004,5745391753,5,Air quality,2020-04-01T10:54:30Z,Carlitos (way),Don’t leave home without it.,,,,en,Air quality,Do n’t leave home without it .
70,2625,5739389899,5,Theo247,2020-03-31T06:42:33Z,Theo247,Great App!,,,,en,Theo247,Great App !
71,1060,5738249857,5,Very helpful,2020-03-31T01:27:12Z,Worldatmyfeet,I look at the rating before I step out the door. Got asthma and need to be careful.,,,,en,Very helpful,I look at the rating before I step out the door . Got asthma and need to be careful .
72,406,5738141708,5,Excellent app,2020-03-31T00:55:25Z,Johnny.W.,"Clear to read and easy to use with an elegant design. Most importantly, the app can show many useful and reliable data. Highly recommend.",,,,en,Excellent app,"Clear to read and easy to use with an elegant design . Most importantly , the app can show many useful and reliable data . Highly recommend ."
73,1861,5737604599,5,best air quality app!,2020-03-30T22:02:57Z,Rehelp,air quality in my opinion is hugely underrated when it comes to health and this app really lets get a deeper look into how it is where you live,,,,en,best air quality app !,air quality in my opinion is hugely underrated when it comes to health and this app really lets get a deeper look into how it is where you live
74,896,5737050776,5,Just works as advertised,2020-03-30T19:05:21Z,iMrMuckle,It not only works with my iPhone but with my Apple Watch.,,,,en,Just works as advertised,It not only works with my iPhone but with my Apple Watch .
75,2596,5734435977,5,Great!,2020-03-30T07:06:46Z,itacd,Great app,,,,en,Great !,Great app
76,2597,5732928162,5,Shajiboss,2020-03-29T23:03:32Z,Shajibos,Perfect,,,,en,Shajiboss,Perfect
77,2393,5732794907,5,Easy to add my fav spots,2020-03-29T22:17:13Z,cutler cay babe,Great,,,,en,Easy to add my fav spots,Great
78,2439,5730518447,5,Prayanak,2020-03-29T11:45:03Z,Prayanak,Very useful,,,,en,Prayanak,Very useful
79,2190,5726990072,5,Great,2020-03-28T17:24:21Z,hgliv,Works fantastic,,,,en,Great,Works fantastic
80,407,5719082011,5,So helpful,2020-03-27T03:11:59Z,Kan-do!,"Not only do I get to know the air quality where I am but I can also check the air where my family is!
So important for seniors and people with asthma/lung conditions.",,,,en,So helpful,"Not only do I get to know the air quality where I am but I can also check the air where my family is ! 
 So important for seniors and people with asthma / lung conditions ."
81,2484,5699066278,5,Great,2020-03-23T01:30:17Z,jeh Thailand,This is a great resource!,,,,en,Great,This is a great resource !
82,963,5697224774,5,Best,2020-03-22T16:05:28Z,Couple2tree,It’s good to have peace of mind knowing where I am and where I go that I’ll be forewarned of the air quality and can prepare accordingly.,,,,en,Best,It ’s good to have peace of mind knowing where I am and where I go that I ’ll be forewarned of the air quality and can prepare accordingly .
83,2490,5693908945,5,Greath,2020-03-21T23:18:31Z,shuca84,Evriting special,,,,en,Greath,Evriting special
84,1086,5693699922,5,Great App,2020-03-21T22:06:21Z,Jehan1,That is my daily application at the moment and can’t stop using it - Thank you :),,,,en,Great App,That is my daily application at the moment and ca n’t stop using it - Thank you :)
85,1111,5690133493,5,Helpful Travel Tool,2020-03-21T04:53:40Z,Medical Traveler,On recent trip to SE Asia we used this app to look for less smoky places to travel.,,,,en,Helpful Travel Tool,On recent trip to SE Asia we used this app to look for less smoky places to travel .
86,2378,5689298647,5,COVID-19,2020-03-21T00:40:31Z,jeroen roIand,Shocking about air quality in italy Milaan about COVID-19 disease,,,,en,COVID-19,Shocking about air quality in italy Milaan about COVID-19 disease
87,1644,5688261281,5,Helps to know when the air is bad!,2020-03-20T18:55:28Z,Gingernai,Love this app!,,,,en,Helps to know when the air is bad !,Love this app !
88,2095,5687262091,5,Great app I used to. Thanks,2020-03-20T14:16:41Z,Benjamin_Hoang,Great app I used to. Thanks,,,,en,Great app I used to . Thanks,Great app I used to . Thanks
89,419,5682212756,5,Good app for remote areas,2020-03-19T13:50:59Z,nycjoe,I live in Kham ta kla. This is the first app that gives more a good idea of air quality. Not sure how they get info on my town but I usually judge air quality by how smoky it is and it seems to reflect that.,,,,en,Good app for remote areas,I live in Kham ta kla . This is the first app that gives more a good idea of air quality . Not sure how they get info on my town but I usually judge air quality by how smoky it is and it seems to reflect that .
90,1757,5681887371,5,Great for everyday use!,2020-03-19T12:27:48Z,Jman777ase,Love it! Just needs a covid19 molecule update!,,,,en,Great for everyday use !,Love it ! Just needs a covid19 molecule update !
91,2859,5664241094,5,Mr Jude,2020-03-15T14:04:05Z,monkeymix,Great!,,,,en,Mr Jude,Great !
92,1532,5662481979,5,Helpful  instrument,2020-03-15T04:29:36Z,mhy48,I recommend this app to plan one’s day.,,,,en,Helpful   instrument,I recommend this app to plan one ’s day .
93,1279,5661792209,5,Great app,2020-03-15T00:26:50Z,ewilli2954,Use it everyday to check air quality!,,,,en,Great app,Use it everyday to check air quality !
94,898,5654821926,5,Part of my day now,2020-03-13T13:07:14Z,Ais1inn,"I was a little slow to start but it’s a regular part of my day, now.",,,,en,Part of my day now,"I was a little slow to start but it ’s a regular part of my day , now ."
95,157,5648645930,5,Medellin Colombia,2020-03-12T04:49:16Z,Plinkrr,I’ve tried several air quality apps over the past couple months and this one has the most available sites and is the easiest to use. Both my spouse and I are using it now.,,,,en,Medellin Colombia,I ’ve tried several air quality apps over the past couple months and this one has the most available sites and is the easiest to use . Both my spouse and I are using it now .
96,2133,5648198950,5,Great,2020-03-12T02:23:32Z,A'aninin,Very helpful and works great!,,,,en,Great,Very helpful and works great !
97,2621,5646827583,5,AirVisual,2020-03-11T17:34:10Z,DiLogunova,Very great!!!,,,,en,AirVisual,Very great ! ! !
98,478,5643280231,5,Relax and Breathe,2020-03-10T22:56:37Z,MommaToonie11,If you can link to a reliable monitor you can have accurate updates that make daily plans possible.,,,,en,Relax and Breathe,If you can link to a reliable monitor you can have accurate updates that make daily plans possible .
99,366,5642063712,5,This is hands down the best,2020-03-10T15:51:16Z,J'aime.,I’m an app developer. Not on this app. I’ve tried tons of air quality apps while traveling around the world and I’ve found myself relying on this one most. #1. Get it.,,,,en,This is hands down the best,I ’m an app developer . Not on this app . I ’ve tried tons of air quality apps while traveling around the world and I ’ve found myself relying on this one most . # 1 . Get it .
100,2300,5640486752,5,Excellent app.,2020-03-10T08:52:19Z,LI Dubai,Very helpful!,,,,en,Excellent app .,Very helpful !
101,1427,5637940782,5,Important app,2020-03-09T17:15:47Z,Faithinangel,I need this for my asthma and allergies.  Works great and correlates to local news reports.,,,,en,Important app,I need this for my asthma and allergies .   Works great and correlates to local news reports .
102,2615,5637909381,5,Jeff Sunner,2020-03-09T17:06:33Z,sunnersboy,Great app,,,,en,Jeff Sunner,Great app
103,2491,5636108347,5,Ali,2020-03-09T08:15:16Z,Ali1102,"Perfect,useful",,,,en,Ali,"Perfect , useful"
104,964,5626259230,5,Great app. I’ve used it everywhere.,2020-03-07T03:06:21Z,Austin Reza,"I travel often and have used the map to track air quality around the world.

It helped my team and I when we were in Sumatra during the wild fires. We evacuated due to the apps help and protected our team!

Also use it at home to monitor the air for my family and friends.

A MUST HAVE!",,,,en,Great app . I ’ve used it everywhere .,"I travel often and have used the map to track air quality around the world . 

 It helped my team and I when we were in Sumatra during the wild fires . We evacuated due to the apps help and protected our team ! 

 Also use it at home to monitor the air for my family and friends . 

 A MUST HAVE !"
105,420,5616395599,5,Breath of fresh air.....so to speak!,2020-03-04T20:10:17Z,Ralph Schrafnagel,"Due to my respiratory issues, have a tool to analysis the air quality on a daily basis is important to me! But having a comparative tool where I can watch and compare & contrast multiple cities and locations can be very helpful when traveling and or considering a move! This app/tool allows for all of the above while being formatted to allow for each and concise understanding of the pertinent data!

Thanks so much

JTK
Ashland, OR",,,,en,Breath of fresh air ..... so to speak !,"Due to my respiratory issues , have a tool to analysis the air quality on a daily basis is important to me ! But having a comparative tool where I can watch and compare & contrast multiple cities and locations can be very helpful when traveling and or considering a move ! This app / tool allows for all of the above while being formatted to allow for each and concise understanding of the pertinent data ! 

 Thanks so much 

 JTK 
 Ashland , OR"
106,665,5610185157,5,Great!,2020-03-03T11:18:41Z,futbolQatar,"Use it daily to check air quality. Easy to use, no ads and helpful interface.",,,,en,Great !,"Use it daily to check air quality . Easy to use , no ads and helpful interface ."
107,1503,5609706859,5,Visitor from USA,2020-03-03T08:43:29Z,A visitor from USA.,"Very helpful information, will pass it on to friends in US.
Good job!!!",,,,en,Visitor from USA,"Very helpful information , will pass it on to friends in US . 
 Good job ! ! !"
108,610,5608382259,5,Super helpful,2020-03-03T01:36:14Z,Thiha2003,If u want desk research for your data analysis  this is the most reliable one it uses a special device to monitor the air quality,,,,en,Super helpful,If u want desk research for your data analysis   this is the most reliable one it uses a special device to monitor the air quality
109,748,5605484311,5,Nice reference for our location,2020-03-02T09:27:14Z,Stevenchenmm,Good to learn the active current air quality where you are.,,,,en,Nice reference for our location,Good to learn the active current air quality where you are .
110,1780,5604585369,5,C,2020-03-02T04:51:24Z,afshinehassan,I’m happy with the results and it’s been very good,,,,en,C,I ’m happy with the results and it ’s been very good
111,2277,5600119420,5,Air visual,2020-03-01T06:19:18Z,aliRezashaabani,This app in very very helpful👌🏽,,,,en,Air visual,This app in very very helpful 👌 🏽
112,2260,5599076724,5,Good review,2020-03-01T01:25:13Z,Htet Oo Khine Khine Myint Thu,It’s so useful for prevention,,,,en,Good review,It ’s so useful for prevention
113,850,5596685612,5,Realy super helpful in my country,2020-02-29T13:09:59Z,Teddy Bagwell,"Tehran capital of iran is the dirty air place in planet earth and this app help me for time i can check the fresh air for running :(
Sorry for bad english",,,,en,Realy super helpful in my country,"Tehran capital of iran is the dirty air place in planet earth and this app help me for time i can check the fresh air for running :( 
 Sorry for bad english"
114,227,5588449608,5,Add regional infection risk,2020-02-27T18:10:18Z,Ribozyme,Great app to generate awareness of pollutants that can affect your health. It would be great to add airborne infection risk to viruses in a region based in CDC or other sources. This will be important given potential virus pandemics and could help you to decide whether you want to wear a mask today when going out.,,,,en,Add regional infection risk,Great app to generate awareness of pollutants that can affect your health . It would be great to add airborne infection risk to viruses in a region based in CDC or other sources . This will be important given potential virus pandemics and could help you to decide whether you want to wear a mask today when going out .
115,464,5584441083,5,i like it,2020-02-26T21:41:38Z,mageshinji,It’s super helpful to see the air quality at the moment as well as during the following few hours/days.,,,,en,i like it,It ’s super helpful to see the air quality at the moment as well as during the following few hours / days .
116,466,5583528513,5,Essential guide for checking air quality!,2020-02-26T16:04:10Z,Amadraeus,"It’s important to know how clean the air that we breathe is.  With this app you can find out with a tap.  I suffer from allergies, so twice as valuable for me!  Clutch.",,,,en,Essential guide for checking air quality !,"It ’s important to know how clean the air that we breathe is .   With this app you can find out with a tap .   I suffer from allergies , so twice as valuable for me !   Clutch ."
117,3043,5579047582,5,Please add a Forward arrow,2020-02-25T15:39:31Z,Rhinosd82,"Thank you 😘
Robert II San Diego Calif USA 92131",,,,en,Please add a Forward arrow,"Thank you 😘 
 Robert II San Diego Calif USA 92131"
