;review_id;rating;title;review_date;user_name;review;response_id;dev_response;response_date;lang
341;5957424702;5;Love the app;2020-05-17T14:17:10Z;APOMex;Gives you details of any city around the world, and even around different areas in the same city. You can create alarms and it is very user friendly. Totally recommend it.;;;;en
2377;5946165403;5;Air;2020-05-15T00:08:18Z;anjeong-ri;Great application;;;;en
205;5945465593;5;very informative, great app;2020-05-14T19:56:40Z;sumz16;love using this to check the air quality in my area and whenever I travel. i like that it has the widget option so i can see it in my today view as well on iphone;;;;en
238;5941718020;5;Literally can’t live (breathe) without it!;2020-05-13T22:33:23Z;WindedStill;Though when I first awaken, I already know if it’s a “good or bad air day”, this app is essential as to how, what, when, and how much to do the rest of that day. I can plan how to function, tho maybe limited, or change plans entirely. It’s an actual medical tool, just not dispensed from a physician!;;;;en
1603;5938285408;5;Support review;2020-05-13T03:04:12Z;Khuyetdanh;Very usefull , i have plan to protect myself before go out;;;;en
1690;5934800843;5;Very Useful;2020-05-12T07:46:56Z;fidysonsimon;Especially useful in China. Great App, compatible with Apple Watch.;;;;en
2248;5933451088;5;Nice;2020-05-11T23:34:16Z;Long.Ng;Dark widget finally.;;;;en
1814;5930883438;5;User review;2020-05-11T09:16:17Z;APM_1995;Very effective especially in myanmar;;;;en
1322;5930421870;5;love my IQAir!;2020-05-11T05:58:50Z;allergiesnomore;I have learned so much about how to manage my air quality from IQAIR with the airvisual app and their awesome filter!;;;;en
2094;5921498333;5;BadgerCS;2020-05-09T01:50:41Z;BadgerCS;Air Quality counts with outdoor activities;;;;en
1350;5914896991;5;Great app.;2020-05-07T13:48:34Z;tonycmbkk;Simply is the best. Thank you all for putting out such a awesome app to saves lives.;;;;en
745;5907524335;5;Is so helpful;2020-05-05T21:38:36Z;heha f;Very good !! It helps me to diced if I can open my window or not , I have allergy and health problem so this up is very very helpful, thank you;;;;en
155;5906459557;5;Best air quality indicator;2020-05-05T15:42:34Z;space time travele;I started using this app when I was in Asia because I was worried about the air. It has helped me avoid running on notably bad days in the States as well.  Also, they improve the interface every so often.;;;;en
1000;5896168348;5;Love it;2020-05-03T05:46:06Z;cleantheair;Opens your eyes and makes you realize what damage we are doing to our planet.;;;;en
1351;5894974407;5;Fantastic idea and execution;2020-05-02T23:05:42Z;DavidElmo;"It’s about free exchange and leverage; and the more this network expands the safer people with asthma and severe allergies will be. Thank you!";;;;en
501;5893802323;5;Very helpful;2020-05-02T16:25:13Z;Jennifer Broussard;I use this application throughout the day. I was recently diagnosed with asthma so I check the air quality before I do any outdoor activities. THANK YOU for making this app!!!;;;;en
518;5893664449;5;Very Useful;2020-05-02T15:44:13Z;Ken in Pasadena;I use this to decide when to let fresh air into my home, and when to close up and turn on the air filter. Very helpful app!;;;;en
2681;5891595925;5;Love it;2020-05-02T04:36:31Z;bandegifts;Love it;;;;en
2438;5888893555;5;Great app.;2020-05-01T14:32:30Z;Hookman32;Great for trip planing;;;;en
1003;5888026017;5;Great AQI app;2020-05-01T10:25:44Z;cdntide;Been using the app for about a month and it has been very accurate in our area.;;;;en
1110;5881601868;5;Seems good. I haven’t compared it though;2020-04-30T01:09:32Z;to tu LOI te hk;Worth a try;;;;en
1326;5881439081;5;Knowing how to breath;2020-04-30T00:20:08Z;Golfermind;This app lets me know whether I can take a walk or play golf that day.  It’s a life saver.;;;;en
1352;5878742484;5;Awesome;2020-04-29T08:33:51Z;Logit567;Does what it says and more. Expensive to buy the machine but the app is wonderful!;;;;en
1453;5863086265;5;Great app;2020-04-25T18:22:07Z;MetsDodgers;I have COPD, this app lets me know before I go outside how the air quality is!;;;;en
1709;5862592646;5;If it’s accurate, very useful;2020-04-25T15:56:28Z;Stargazing4027;Thanks;;;;en
476;5862280428;5;VERY Helpful;2020-04-25T14:30:06Z;californiaButtercup;"I LOVE this app!  I have allergies AND asthma and I can QUICKLY plan my family’s outdoor activities, by time of day, using this app.
Thank you, for using colors and icons vs having to dig through a lot of text.";;;;en
207;5859182067;5;Excellent App to check which country is leading us to global warming;2020-04-24T22:00:19Z;reybako;Excellent App to check which country is leading us to global warming, asthma (PM2.5) and cancer (SO2 and NO2). I constantly look at the map/satellite option. Good App to take care of your and your family’s health. Keep up the good job.;;;;en
502;5855806028;5;Such a wonderful app;2020-04-24T04:44:17Z;Indymark64;It is so great to have this for us here in Cairo where air quality isn’t always so great.  It is nice to know which days to run outside and which days to stay indoors.;;;;en
101;5849043637;5;Real value in a free app;2020-04-22T17:17:20Z;Disabled RN;I have used and told others about this app for years. I have a rare autoimmune disease with a myriad of debilitating symptoms.  But the most frightening is bouts of difficulty breathing. Before I open my door, or step outside, I look at this handy app to know if the big city air is likely to cause me problems. Trial and error has shown me that this app can make the difference. I love this app. I just bought the IQAir.  Thanks for helping me breathe easier, literally.;;;;en
2451;5845101646;5;Excellent help.;2020-04-21T20:40:23Z;Palerider13;Great app;;;;en
1353;5837682548;5;Very helpful!;2020-04-20T07:20:27Z;katiujin;Could be improved by dividing places into smaller areas or formal districts of the city!;;;;en
592;5834550679;5;5 stars;2020-04-19T14:23:41Z;Von Bryner;Really enjoy this app, I check it often. It’s a fun app to use.  It gives me the ability to make good decisions about my activities.;;;;en
2317;5824934382;5;Good app;2020-04-17T13:59:18Z;Sidm0re;Very helpful;;;;en
1278;5824269548;5;Must have;2020-04-17T11:04:16Z;__gopher__;It’s super helpful if you live in industrial China or India, or like me in capital of Ukraine,  most polluted city on the world at the moment.;;;;en
1898;5818649378;5;Excellent app;2020-04-16T06:53:54Z;carma1969;Excellent app with a reputable company that makes hospital grade air purifiers for home.;;;;en
1607;5811283762;5;Chandler Man;2020-04-14T17:56:47Z;Prof. Of the truth;Great to know my air quality whenever I want!;;;;en
2170;5806537701;5;AirVisual is extremely informative;2020-04-13T17:49:02Z;Lennart Br;Great Pollution monitor;;;;en
2576;5806465277;5;bikegal2012;2020-04-13T17:27:30Z;Bikegal2012;Great App!;;;;en
1327;5799004445;5;A great weather whistler!;2020-04-12T03:28:01Z;ApplNw;Good notifications about the level of pollution in a place. Handy for 2020!;;;;en
405;5796375594;5;Great Info!;2020-04-11T14:34:45Z;TooStresst;It’s great to be able to check AQ with just a click. Shows proof that when cars are off the road we can make a huge difference. If COVID-19 has taught us anything, it’s that fewer emissions mean cleaner air.;;;;en
663;5795026913;5;Quick and simple;2020-04-11T08:18:13Z;Hugo E Martinez;I like the quick way I receive at a glance the information and can then dig deeper into it.;;;;en
415;5791928076;5;Amazing info for allergy sufferers like me;2020-04-10T16:58:50Z;Lumargm;Being able to keep track of air quality everyday helps me a lot and how to manage my going out of the house;;;;en
286;5783374950;5;Smart, Simple, Attractive;2020-04-09T00:34:29Z;GoldenAge369;What a great idea to build an open source community to help people understand the air quality they are breathing.  Air quality is a growing concern around the planet.  The air you breath is just as important as the water you drink in my opinion.  This app is driving me to purchase the IQ Air sensor to go with my home air filter unit.;;;;en
1207;5771164574;5;Works;2020-04-06T14:02:30Z;quipwhip;Tells me when it’s safe to air out the house;;;;en
769;5761930201;5;Son with asthma;2020-04-04T15:53:25Z;<3 this app for asthma;Love this app and allows me to know when he can go outside to play or when we will have difficulties.;;;;en
213;5758738947;5;Great app!;2020-04-04T02:03:48Z;Lausanne19;"I love that it gives me the air quality in cities all over the world, it helps me to decide where to go in vacations, how my parents are doing in their city etc. Despite the present COVID-19 crisis I have hope that one day we’ll be able to go places again.

In Watertown he meantime keeping an eye on the air quality we inhale is super important.";;;;en
2249;5756748210;5;Life Savers World Savers;2020-04-03T16:31:40Z;Dannyshammy;thank you;;;;en
2330;5747913928;5;Superb!!!;2020-04-01T22:22:11Z;78?06?;Great!  Very informative and helpful.;;;;en
1004;5745391753;5;Air quality;2020-04-01T10:54:30Z;Carlitos (way);Don’t leave home without it.;;;;en
2625;5739389899;5;Theo247;2020-03-31T06:42:33Z;Theo247;Great App!;;;;en
1060;5738249857;5;Very helpful;2020-03-31T01:27:12Z;Worldatmyfeet;I look at the rating before I step out the door. Got asthma and need to be careful.;;;;en
406;5738141708;5;Excellent app;2020-03-31T00:55:25Z;Johnny.W.;Clear to read and easy to use with an elegant design. Most importantly, the app can show many useful and reliable data. Highly recommend.;;;;en
1861;5737604599;5;best air quality app!;2020-03-30T22:02:57Z;Rehelp;air quality in my opinion is hugely underrated when it comes to health and this app really lets get a deeper look into how it is where you live;;;;en
896;5737050776;5;Just works as advertised;2020-03-30T19:05:21Z;iMrMuckle;It not only works with my iPhone but with my Apple Watch.;;;;en
2596;5734435977;5;Great!;2020-03-30T07:06:46Z;itacd;Great app;;;;en
2597;5732928162;5;Shajiboss;2020-03-29T23:03:32Z;Shajibos;Perfect;;;;en
2393;5732794907;5;Easy to add my fav spots;2020-03-29T22:17:13Z;cutler cay babe;Great;;;;en
2439;5730518447;5;Prayanak;2020-03-29T11:45:03Z;Prayanak;Very useful;;;;en
2190;5726990072;5;Great;2020-03-28T17:24:21Z;hgliv;Works fantastic;;;;en
407;5719082011;5;So helpful;2020-03-27T03:11:59Z;Kan-do!;"Not only do I get to know the air quality where I am but I can also check the air where my family is!
So important for seniors and people with asthma/lung conditions.";;;;en
2484;5699066278;5;Great;2020-03-23T01:30:17Z;jeh Thailand;This is a great resource!;;;;en
963;5697224774;5;Best;2020-03-22T16:05:28Z;Couple2tree;It’s good to have peace of mind knowing where I am and where I go that I’ll be forewarned of the air quality and can prepare accordingly.;;;;en
2490;5693908945;5;Greath;2020-03-21T23:18:31Z;shuca84;Evriting special;;;;en
1086;5693699922;5;Great App;2020-03-21T22:06:21Z;Jehan1;That is my daily application at the moment and can’t stop using it - Thank you :);;;;en
1111;5690133493;5;Helpful Travel Tool;2020-03-21T04:53:40Z;Medical Traveler;On recent trip to SE Asia we used this app to look for less smoky places to travel.;;;;en
2378;5689298647;5;COVID-19;2020-03-21T00:40:31Z;jeroen roIand;Shocking about air quality in italy Milaan about COVID-19 disease;;;;en
1644;5688261281;5;Helps to know when the air is bad!;2020-03-20T18:55:28Z;Gingernai;Love this app!;;;;en
2095;5687262091;5;Great app I used to. Thanks;2020-03-20T14:16:41Z;Benjamin_Hoang;Great app I used to. Thanks;;;;en
419;5682212756;5;Good app for remote areas;2020-03-19T13:50:59Z;nycjoe;I live in Kham ta kla. This is the first app that gives more a good idea of air quality. Not sure how they get info on my town but I usually judge air quality by how smoky it is and it seems to reflect that.;;;;en
1757;5681887371;5;Great for everyday use!;2020-03-19T12:27:48Z;Jman777ase;Love it! Just needs a covid19 molecule update!;;;;en
2859;5664241094;5;Mr Jude;2020-03-15T14:04:05Z;monkeymix;Great!;;;;en
1532;5662481979;5;Helpful  instrument;2020-03-15T04:29:36Z;mhy48;I recommend this app to plan one’s day.;;;;en
1279;5661792209;5;Great app;2020-03-15T00:26:50Z;ewilli2954;Use it everyday to check air quality!;;;;en
898;5654821926;5;Part of my day now;2020-03-13T13:07:14Z;Ais1inn;I was a little slow to start but it’s a regular part of my day, now.;;;;en
157;5648645930;5;Medellin Colombia;2020-03-12T04:49:16Z;Plinkrr;I’ve tried several air quality apps over the past couple months and this one has the most available sites and is the easiest to use. Both my spouse and I are using it now.;;;;en
2133;5648198950;5;Great;2020-03-12T02:23:32Z;A'aninin;Very helpful and works great!;;;;en
2621;5646827583;5;AirVisual;2020-03-11T17:34:10Z;DiLogunova;Very great!!!;;;;en
478;5643280231;5;Relax and Breathe;2020-03-10T22:56:37Z;MommaToonie11;If you can link to a reliable monitor you can have accurate updates that make daily plans possible.;;;;en
366;5642063712;5;This is hands down the best;2020-03-10T15:51:16Z;J'aime.;I’m an app developer. Not on this app. I’ve tried tons of air quality apps while traveling around the world and I’ve found myself relying on this one most. #1. Get it.;;;;en
2300;5640486752;5;Excellent app.;2020-03-10T08:52:19Z;LI Dubai;Very helpful!;;;;en
1427;5637940782;5;Important app;2020-03-09T17:15:47Z;Faithinangel;I need this for my asthma and allergies.  Works great and correlates to local news reports.;;;;en
2615;5637909381;5;Jeff Sunner;2020-03-09T17:06:33Z;sunnersboy;Great app;;;;en
2491;5636108347;5;Ali;2020-03-09T08:15:16Z;Ali1102;Perfect,useful;;;;en
964;5626259230;5;Great app. I’ve used it everywhere.;2020-03-07T03:06:21Z;Austin Reza;"I travel often and have used the map to track air quality around the world.

It helped my team and I when we were in Sumatra during the wild fires. We evacuated due to the apps help and protected our team!

Also use it at home to monitor the air for my family and friends.

A MUST HAVE!";;;;en
420;5616395599;5;Breath of fresh air.....so to speak!;2020-03-04T20:10:17Z;Ralph Schrafnagel;"Due to my respiratory issues, have a tool to analysis the air quality on a daily basis is important to me! But having a comparative tool where I can watch and compare & contrast multiple cities and locations can be very helpful when traveling and or considering a move! This app/tool allows for all of the above while being formatted to allow for each and concise understanding of the pertinent data!

Thanks so much

JTK
Ashland, OR";;;;en
665;5610185157;5;Great!;2020-03-03T11:18:41Z;futbolQatar;Use it daily to check air quality. Easy to use, no ads and helpful interface.;;;;en
1503;5609706859;5;Visitor from USA;2020-03-03T08:43:29Z;A visitor from USA.;"Very helpful information, will pass it on to friends in US.
Good job!!!";;;;en
610;5608382259;5;Super helpful;2020-03-03T01:36:14Z;Thiha2003;If u want desk research for your data analysis  this is the most reliable one it uses a special device to monitor the air quality;;;;en
748;5605484311;5;Nice reference for our location;2020-03-02T09:27:14Z;Stevenchenmm;Good to learn the active current air quality where you are.;;;;en
1780;5604585369;5;C;2020-03-02T04:51:24Z;afshinehassan;I’m happy with the results and it’s been very good;;;;en
2277;5600119420;5;Air visual;2020-03-01T06:19:18Z;aliRezashaabani;This app in very very helpful👌🏽;;;;en
2260;5599076724;5;Good review;2020-03-01T01:25:13Z;Htet Oo Khine Khine Myint Thu;It’s so useful for prevention;;;;en
850;5596685612;5;Realy super helpful in my country;2020-02-29T13:09:59Z;Teddy Bagwell;"Tehran capital of iran is the dirty air place in planet earth and this app help me for time i can check the fresh air for running :(
Sorry for bad english";;;;en
227;5588449608;5;Add regional infection risk;2020-02-27T18:10:18Z;Ribozyme;Great app to generate awareness of pollutants that can affect your health. It would be great to add airborne infection risk to viruses in a region based in CDC or other sources. This will be important given potential virus pandemics and could help you to decide whether you want to wear a mask today when going out.;;;;en
464;5584441083;5;i like it;2020-02-26T21:41:38Z;mageshinji;It’s super helpful to see the air quality at the moment as well as during the following few hours/days.;;;;en
466;5583528513;5;Essential guide for checking air quality!;2020-02-26T16:04:10Z;Amadraeus;It’s important to know how clean the air that we breathe is.  With this app you can find out with a tap.  I suffer from allergies, so twice as valuable for me!  Clutch.;;;;en
3043;5579047582;5;Please add a Forward arrow;2020-02-25T15:39:31Z;Rhinosd82;"Thank you 😘
Robert II San Diego Calif USA 92131";;;;en
2515;5576299673;5;very useful;2020-02-25T01:27:18Z;momBKK;great app;;;;en
1208;5573907808;5;Bua;2020-02-24T11:22:06Z;BurimBua;By far the best app i have ever used, easy to use, it shows weather too;;;;en
1626;5571711474;5;Great app;2020-02-23T23:20:40Z;TsBenny;Accurate and helpful in planning my day. Thanks;;;;en
1405;5570665311;5;Great app, simple and accurate!;2020-02-23T16:36:13Z;AndyMeads;Very helpful in planning the day and what activities to engage in. Excellent!;;;;en
593;5567446934;5;Crucial as an asthmatic;2020-02-22T23:43:37Z;LaJefaSalvaje;Having just moved to a new city (Pittsburgh) this app helps me know when it’s safe to be outside for long periods and when it isn’t. Very useful;;;;en
356;5562544058;5;Helpful App;2020-02-21T22:08:01Z;ArdleyA;Lots of places where one can see the current air quality. You may have to know the province or state if wanting to find data on a particular city.;;;;en
2279;5556138998;5;Weather Health measurement;2020-02-20T11:16:35Z;arashmob;It is amazing app;;;;en
1087;5553608630;5;Good app;2020-02-19T20:49:10Z;Random app search;This app is good at telling specific information about the outdoor air as well as weather.;;;;en
1245;5550394513;5;Awesome information!;2020-02-19T03:31:50Z;ANDYKIMXP;I Would give it 10 stars!;;;;en
1407;5545073551;5;Very Helpful;2020-02-17T21:06:00Z;KyanNguyen;Keeps up the good works to the team;;;;en
2262;5544232234;5;so helpful!!;2020-02-17T16:05:49Z;outofambit;easy to use, no ads! super informative!;;;;en
2272;5540628738;5;Super cool info!;2020-02-16T21:18:15Z;wbquinlan;helpful and neat info;;;;en
2527;5538605794;5;Awesome;2020-02-16T11:14:35Z;vinh phuong;Good one;;;;en
1062;5536741482;5;Great app;2020-02-16T01:22:48Z;games122;Great app, usually quite accurate. Use it to check my location’s aqi all the time;;;;en
1030;5534896551;5;Air Purity Advisory;2020-02-15T14:47:11Z;Got LinkedIn?;I use this apply on daily with my weather app to check air quality.;;;;en
2550;5531759520;5;It’s great!;2020-02-14T22:11:22Z;麦麦0320;A great app!;;;;en
2452;5524038314;5;Rate of app;2020-02-13T04:35:26Z;moj sed @;It’s good app;;;;en
1506;5517023096;5;Its function well deserves its name;2020-02-11T13:22:57Z;leothegenius;AirVisual does a great job visualize the air quality.;;;;en
1031;5516369424;5;Quite accurate;2020-02-11T10:14:07Z;CJ Weathernut;I like using this App. It’s accurate where we are.;;;;en
1998;5504405810;5;I use it everyday;2020-02-08T16:04:10Z;mayaonplaya;Great app;;;;en
571;5498774886;5;Local Air quality;2020-02-07T10:19:53Z;cind'rella;"Updated official
air quality scores
Unfortunately does not show pm 2.5 particles bur that is ‘cause our officials don’t report it....
The app works smoothly";;;;en
1248;5497047568;5;Nice app;2020-02-07T00:02:02Z;One who walls;So far I love this app. Different functionality’s allow me to get the info I need to breathe safely.;;;;en
1005;5496206989;5;Just needed for some of us;2020-02-06T18:27:07Z;guitarstjohn;This is one of the many indicators that I place some confidence in, and am grateful for.;;;;en
851;5491373632;5;Great tool;2020-02-05T15:02:38Z;fcwnfcw;Great tool to get up-to-date information on air quality of the area of interest to you.;;;;en
983;5489967472;5;Must have health app!;2020-02-05T07:42:02Z;EricDeVille;I am living in Belgrade. Recently we have had severe air pollution. App helped me go trough and stay informed all the time! Thanks!;;;;en
534;5486439209;5;Air Visual is outstanding!;2020-02-04T10:56:24Z;Drcherie;It helps me know so many aspects about my health and well-being. I check it many times per day to ensure it is safe to breathe the air!;;;;en
2171;5485761118;5;Great app;2020-02-04T06:45:39Z;TΩN;Good tool to help guide outdoor activity planning.;;;;en
1306;5479241472;5;Very good app;2020-02-02T15:26:53Z;djrunner2020;It helps to know the air quality in your town.;;;;en
1781;5477630200;5;Very useful;2020-02-02T07:30:44Z;Iamagnome;Does what its supposed to do.;;;;en
1089;5473123757;5;Very helpful;2020-02-01T06:28:53Z;Hamb333;I check it every day during burning season!;;;;en
875;5469788569;5;Awareness;2020-01-31T11:28:45Z;Olithereddog;Love to have something that guides my activity level for the day. Pollution is inevitable however knowing how much particulate is in the air is valuable.;;;;en
1507;5467665966;5;The app is super accurate;2020-01-30T22:11:20Z;Aiwanho;It does reflect the real air pollution status;;;;en
2492;5466228173;5;Hello from Zlatibor( Serbia);2020-01-30T13:39:25Z;Igor MATE;Great app . So helpful 👍🏻👍🏻🌲;;;;en
2485;5463634382;5;great app;2020-01-29T21:42:02Z;anadimic;helps a lot;;;;en
1429;5460840866;5;Eisa;2020-01-29T04:10:52Z;Eisaia;Very useful for me as frequent traveler. I can add multiple cities and I love the dashboard and the suggestion for protective measures.;;;;en
165;5460141121;5;Amazing app about pollution;2020-01-28T23:36:34Z;titaniummd;"I recently went to New Delhi, Punjab, Rajasthan and Haridwar in India.  My chest was burning so I wore my mask to filter out pollution.

I found this app, and it was very helpful to understand what was going on in real time.  This app and system is a Godsend.  I’m glad I live in the mountains of Virginia, where the air is clean most of the year.

Thanks for the great work the developers have made to keep us healthy.";;;;en
637;5459477420;5;Love it!;2020-01-28T18:40:03Z;HelloToshiko;Takes a bit to get used to the verbiage, but is very very useful. I like how you can set specific zip codes to get a true rating of your air.;;;;en
2209;5458602145;5;Amazing app;2020-01-28T13:41:35Z;Orizzolo;Very useful;;;;en
1533;5458201734;5;Fanatic!;2020-01-28T11:33:58Z;Cozyhucker;Love how thorough and that I can see locations all around the world.;;;;en
535;5456196634;5;Great breathing!;2020-01-27T21:36:37Z;dixhumm;We are very happy with the app.  It keeps us abreast of air quality everywhere we travel.  Good to know if the air already poses concerns.  So good to have it in the age of the coronavirus coming to our shores.;;;;en
899;5455652714;5;Great app - air quality at a glance;2020-01-27T17:52:35Z;corneiliusatrest;Very easy to use and quick way to be aware of local and worldwide air quality trends.;;;;en
536;5455129123;5;Get your air quality index FAST;2020-01-27T14:45:48Z;lovely man 2;This app is great saves a lot of time and is comprehensive covering basically all occupied countries. Awesome finally...everyone should check this app daily!!!;;;;en
84;5453864568;5;Good for people that have breathing problems;2020-01-27T06:59:05Z;Edith Michelle;I am a mother of 4 kids and 2 of my kids have severe asthma and so do I. As a mother I try my best to not let my kids get sick and that they have their medicine in the house in the car and in school even in my sister and my dads house have my kids medicine because it’s hard to tell when will they have a breathing problem and now a days the weather and the pollution it’s good to have this app to know how safe and how to plan the day even better;;;;en
2017;5448026039;5;Nice app!;2020-01-25T19:10:37Z;MHANGamer;This app is really nice and useful. Thanks to developers.;;;;en
1710;5447839940;5;Great app;2020-01-25T18:07:12Z;Imercuryy;I thinking of buying device! :);;;;en
1006;5445621375;5;The quality of wether;2020-01-25T06:08:56Z;mnbfykif;It's good however it make me stressed as I get my local is polluted most of the year;;;;en
1144;5444758631;5;Super easy to use;2020-01-25T01:08:49Z;FriendofE;I’m visiting overseas and needed to the air quality. This app is very easy to use and helpful.;;;;en
1534;5444391276;5;Air quality;2020-01-24T22:52:37Z;Lauratempletin;This app has helped me tremendously. I’m on oxygen and need to be careful.;;;;en
574;5444384846;5;Makes you aware;2020-01-24T22:49:55Z;jush curly;Thanks to this app I know when to be more careful about spending time outside when there is a lot of pollution outside! I love in South Korea so I use this a lot!;;;;en
1815;5444371408;5;Great App;2020-01-24T22:44:28Z;Bo2606;Really like it.  It is helpful and easy to use.;;;;en
2349;5442191886;5;About app.;2020-01-24T10:34:04Z;PrakSM;Very good app.;;;;en
639;5439243847;5;Air quality;2020-01-23T15:54:21Z;mamiopyu;We are going to Australia/ New Zealand in a few weeks. We have been concerned about the wildfires. This app has been very helpful.;;;;en
109;5437797598;5;Nice but could be faster;2020-01-23T07:53:19Z;Phongsan;This is an incredibly useful especially for those who live in a not-so-clean area. But the App could be faster especially in the map view mode that some of the data points could be averaged out to reduce the display data which would not only make it easier to glance but also would make the App runs a little more efficiently in the map view mode.;;;;en
1430;5435603190;5;Useful!;2020-01-22T17:22:47Z;*DunsTomp;The app helps me to know when it’s a good time to go out !!;;;;en
1711;5433005828;5;Very useful;2020-01-22T02:12:34Z;mingyshanghai;I used the app almost everyday. Love it.;;;;en
1090;5430679461;5;Great information;2020-01-21T11:57:37Z;HAUSBRANDTfan;Hopefully knowing will help us change behaviour;;;;en
2411;5430185799;5;Hi;2020-01-21T08:33:01Z;kiunouz;Fantastic app, it helps a lot...;;;;en
2430;5430049624;5;Great app!;2020-01-21T07:34:04Z;NattiPS;Great app!! Very helpful;;;;en
106;5428772881;5;Nope, not run today ...;2020-01-20T22:51:38Z;bsdfoiuhdsj;I have lived in Shanghai for over 20 years and before this app, we only knew the air quality couldn’t be good. The local reports back then were always “optimistic”. Now with this app, I have instant and accurate data on the air around me and anywhere else in the world. It’s been a real eye opener and breath of fresh air ... well maybe the opposite on many days here. I recommend this one, the best I have used so far.;;;;en
275;5427541050;5;Great app;2020-01-20T15:29:19Z;ChrisTangoTiger;This app helps my family a lot. We live in a city that is near refineries and I have friends that have gotten lung cancer. Technology like this helps my son who is asthmatic and I wear a mask when we have to. If we want clean bottled water why not clean air?;;;;en
2056;5426801502;5;Great app;2020-01-20T11:36:19Z;pejaiiii;Help me know my area’s pollution.;;;;en
666;5426111274;5;The best Air Quality App ever!!!;2020-01-20T07:00:04Z;thesarge444j;This is the best Air Quality I have ever used so far. Really need this information here in South Korea especially being a mountain bike rider. Highly recommend.;;;;en
1508;5425866503;5;Super convenient;2020-01-20T05:12:16Z;f hi jydgyfju;Very easy to use- excellent reference tool;;;;en
3045;5425080543;5;Very helpful;2020-01-20T00:13:37Z;Little T Noi;Can check anytime anywhere and know the air quality. Great app.Little T Noi;;;;en
99;5424428526;5;EU std;2020-01-19T20:03:14Z;Alex,Serbia,;"This is the most accurate and reliable system so far. More people should participate in order to establish even better and precise system. 
Thanks!

P.s. This is for Apple, you should enable like(or similar mechanism) button for reviews. To show how much people adore or not some review!";;;;en
612;5423280645;5;Super helpful!;2020-01-19T14:11:52Z;5 nomads;Using the app while in Chiang Mai, Thailand where the air can be very unhealthy from farmers burning their fields. Really glad to have found this app. And I like that it pairs nicely with my Apple watch.;;;;en
