;review_id;rating;title;review_date;user_name;review;response_id;dev_response;response_date;lang-r
4;3174901787;3;One day, this may become a great app.;2018-09-10T14:00:07Z;APColliflower;"I wish that the app tracked my area.  I live in Ohio and there is no Ohio city to add.  I have no idea from where the pollen reports are coming.  
- The design of the app, ease of use and the way one reports symptoms is very intuitive and easy to use.  I believe it to be at the top of the list of quality allergy/asthma trigger apps.  However, one needs to know what’s going on in their particular area.";6390681.0;Hello, thank you very much for your feedback and for your kind words concerning the design. We are currently growing our network of allergen trackers in the US by placing our sensors in strategic locations. Which city would you like to see on the app?;2018-12-14T16:54:38Z;en
5;3174901790;3;One day, this may become a great app.;2018-09-10T14:00:07Z;APColliflower;"I wish that the app tracked my area.  I live in Ohio and there is no Ohio city to add.  I have no idea from where the pollen reports are coming.  
- The design of the app, ease of use and the way one reports symptoms is very intuitive and easy to use.  I believe it to be at the top of the list of quality allergy/asthma trigger apps.  However, one needs to know what’s going on in their particular area.";;;;en
6;3174901765;3;One day, this may become a great app.;2018-09-10T14:00:07Z;APColliflower;"I wish that the app tracked my area.  I live in Ohio and there is no Ohio city to add.  I have no idea from where the pollen reports are coming.  
- The design of the app, ease of use and the way one reports symptoms is very intuitive and easy to use.  I believe it to be at the top of the list of quality allergy/asthma trigger apps.  However, one needs to know what’s going on in their particular area.";5175763.0;Thank you very much for your feedback, we're very happy that you found the app easy to use! We've just added Columbus to our network, you can now add it to your city list and start logging your symptoms.;2018-09-22T18:39:24Z;en
1;2714285310;3;Is not tracking my symptoms but is still helpful.;2018-06-17T22:01:32Z;p-money7;I want to love this app, but I’ve been logging my symptoms for 3 weeks and it has yet to show me any statistics or triggers. The statistics pages are blank and under triggers it says I haven’t logged enough info yet. I do appreciate the alerts when air quality changes - very helpful for someone who loves to spend time outdoors but has terrible allergies and asthma. I just wish it actually tracked my symptoms!;3893613.0;Thank you for your feedback! You need to log your symptoms at least 6 times for the app to be able to understand your triggers. Let us know when the feature is unlocked!;2018-06-19T11:17:10Z;en
15;5898579801;2;Location;2020-05-03T18:40:05Z;Jojo56789;I live in Indiana, United States. There are only locations for big cities. So since there is no way to set location to my city I have no idea what the allergen and pollution rating is therefore doesn’t really help me any.;;;;en
24;5653413703;2;High Monthly Fee;2020-03-13T06:23:06Z;MezzoMH;It’s nice to see daily allergy reports, but if you’re looking to track your symptoms and learn about possible causes, it will cost you $19.99/month.;14656638.0;Hello, thank you for your feedback. It is currently free and we are considering the cost on a yearly basis rather than monthly. We hope you welcome this change and also consider reviewing your rating :) ;2020-04-14T11:07:28Z;en
19;4825718335;2;Poor UI;2019-09-23T00:05:09Z;mw212;Font is way too small and no apparent way to adjust.;;;;en
12;4051165416;2;Needs more locations;2019-04-23T18:49:58Z;Wildwoodflwr;App seems like it would be great but is greatly lacking in area information. The closest city to me is 3 hours away in another state. The pollen that far north doesn’t affect me as much as the pollen coming up from the south.;8434449.0;Hello and thank you for your feedback. We are working very hard to cover all major cities but extending our network of sensors takes time! Could you please let us know in the feedback section of the app (settings) which city you'd be interested in? We'll make sure to add it to our list :);2019-04-29T16:06:38Z;en
18;3804188241;2;Missing Cities for Allergen Alerts;2019-02-23T09:44:29Z;Allergy Tracker;The locations in the app do not contain a lot of the major cities or areas, and there is no way to add cities that are not in the lookup;8446282.0;"Hello, we are currently in the process of adding new locations, and we noticed you had required this earlier could you please let me know where you’re based
.
Also could we please ask you to reconsider your rating on the app store once this is resolved. 

Thank you, 
Kate Mares, Customer Management";2019-04-30T09:27:54Z;en
9;3230083266;2;Too many problems;2018-09-25T23:43:23Z;Kevin_in_cs;Have had too many glitchy problems getting info entered or retained by the app. Sometimes not enough feedback or response to know what I’m entering is registering. More instructions are needed, with specifics on how or when info is entered and whether it’s being retained.;6390653.0;Hello Kevin, Thank you for your feedback. Thanks to you, we are now improving our feedback mechanisms when the user inputs information. We'll be releasing a new version soon that will hopefully sort this out.;2018-12-14T16:52:46Z;en
13;5580665537;1;App doesn’t find my location, Florida, U.S.;2020-02-26T01:43:15Z;AmandaElizabeth520;Maybe I’m missing something? But the app doesn’t find my current location. Instead, my options are from a select list of cities around the world but none of them are my current hometown or even close to me.;14655143.0;"Hello, if the app is not finding your current location it is most probably that you have disabled the location service when you first downloaded the app. To fix this issue, head to the phone settings, scroll down to Sensio Air and check if location is enabled. It needs to be set on ""While using the App"". We hope this was helpful, please reconsider our rating if you are satisfied. ";2020-04-14T10:07:42Z;en
3;5201671987;1;FORCED TO CREATE AN ACCOUNT;2019-11-27T02:36:05Z;Topbridge;I HATE HATE H A T E apps that force you to sign up and create an account. As soon as you open the app if shows up and you can’t do or see anything else. I’m so sick and frustrated of all that do this. You think someone having a serious health problem ha time to do all your stupid steps? The priority here is access to crucial information. How IGNORANT of the developers to put up a stupid sign up first. GET RID OF IT. YOU GIVE PEOPLE THE OPTION AND IF THEY DONT WANT TO, THEN THAT IS THEIR DECISION. You don’t force that choice on anyone. PEOPLE HAVING MEDICAL EMERGENCIES AND ALL YOU CARE ABOUT IS AN EXTRA SUBSCRIBER FOR YOU TO SPAM.;;;;en
25;4678160765;1;Not ready for prime time - high report cost - glitchy;2019-08-26T17:33:29Z;HollyYarbrough;$19.99 subscription fee to get a report, hardly any US cities represented for weather/pollen triggers. Very glitchy, had to keep closing and reopening to see other screens. Very good idea in theory and would be worth the fee if it allowed me to track my triggers to figure things out....but unusable as-is. Deleting...;;;;en
17;4254006354;1;Location;2019-06-02T22:07:47Z;Jsjdbeosnfogneoap;This app makes no sense if you are unable to get the air quality information for your exact location. Why won’t it use my current location?;;;;en
21;3221852234;1;Not In My Area of Missouri;2018-09-23T15:55:51Z;Mason Newman;I would love to be able to use this app, however it is not in my city so I can’t.;6390662.0;Hello Mason, thank you for your feedback. We are currently growing our network of allergen trackers in the US. Which city would you like to access? We'll make sure to add it in the next version.;2018-12-14T16:53:23Z;en
22;3033171034;1;Not in my area;2018-08-08T02:04:22Z;allowstatecheckbeforedownload;Would love this app if it even covered part of Nebraska. Not even one city in Nebraska😜;4873784.0;Hello thanks for your feedback, indeed we do not have your area covered yet but we are working on it. ;2018-08-30T12:19:11Z;en
